state,time,net,age,sex
VA,5129,4912,24,M
VA,5149,5050,24,M
DC,5163,4785,24,M
MD,5168,5107,24,M
DC,5177,4934,24,M
DC,5258,4832,24,M
DC,5312,5229,24,M
VA,5318,5246,24,M
MD,5329,5192,24,M
DC,5355,5222,24,M
VA,5358,5187,24,M
DC,5370,5026,24,M
VA,5379,5295,24,M
VA,5411,5267,24,M
VA,5422,4979,24,M
DC,5430,5342,24,M
DC,5441,5289,24,M
DC,5478,5094,24,M
MD,5485,5106,24,M
DC,5496,5496,24,M
VA,5538,5355,24,M
MD,5543,5128,24,M
DC,5561,5201,24,M
MD,5582,5234,24,M
DC,5589,5553,24,M
VA,5618,5338,24,M
MD,5622,5586,24,M
VA,5735,5735,24,M
DC,5745,5458,24,M
DC,5779,5316,24,M
VA,5799,5626,24,M
VA,5802,5365,24,M
VA,5809,5526,24,M
VA,5823,5449,24,M
DC,5825,5602,24,M
MD,5869,5453,24,M
MD,5901,5554,24,M
DC,5907,5484,24,M
DC,5947,5553,24,M
DC,5947,5553,24,M
MD,5975,5708,24,M
VA,6024,5789,24,M
VA,6032,6032,24,M
VA,6061,5649,24,M
VA,6173,5899,24,M
VA,6224,6056,24,M
DC,6238,6238,24,M
DC,6414,6032,24,M
VA,6516,6191,24,M
MD,6550,6301,24,M
DC,6709,6409,24,M
MD,6884,6402,24,M
VA,7027,6956,24,M
VA,7376,6886,24,M
IL,8972,8480,24,M
Kenya,2874,2874,25,M
VA,3352,3349,25,M
DC,3425,3422,25,M
VA,3557,3554,25,M
DC,3595,3590,25,M
DC,3764,3761,25,M
MD,3902,3880,25,M
DC,3935,3891,25,M
VA,4016,3975,25,M
VA,4146,3829,25,M
DC,4168,4154,25,M
MD,4229,4198,25,M
DC,4233,4169,25,M
DC,4311,4244,25,M
DC,4333,4239,25,M
DC,4350,4275,25,M
DC,4416,4396,25,M
VA,4422,4380,25,M
DC,4439,4368,25,M
PA,4497,4497,25,M
DC,4518,4335,25,M
DC,4597,4388,25,M
DC,4617,4343,25,M
MD,4636,4202,25,M
VA,4667,4568,25,M
VA,4671,4653,25,M
VA,4671,4394,25,M
VA,4708,4641,25,M
DC,4708,4599,25,M
CA,4722,4658,25,M
DC,4754,4665,25,M
NH,4759,4428,25,M
VA,4766,4715,25,M
DC,4812,4812,25,M
VA,4813,4506,25,M
DC,4818,4752,25,M
DC,4831,4485,25,M
DC,4843,4704,25,M
MD,4844,4584,25,M
VA,4849,4518,25,M
VA,4894,4530,25,M
VA,4915,4767,25,M
VA,5054,5020,25,M
VA,5101,4672,25,M
DC,5129,4890,25,M
DC,5172,5071,25,M
DC,5186,5062,25,M
VA,5198,4777,25,M
VA,5226,5226,25,M
DC,5245,5198,25,M
DC,5277,5089,25,M
MD,5309,4891,25,M
MD,5377,5277,25,M
VA,5411,5339,25,M
DC,5433,5433,25,M
DC,5442,5117,25,M
VA,5449,5253,25,M
VA,5536,5156,25,M
DC,5547,5247,25,M
VA,5552,5552,25,M
DC,5560,5200,25,M
DC,5596,5294,25,M
PA,5616,5162,25,M
DC,5641,5235,25,M
DC,5653,5319,25,M
MD,5653,5232,25,M
DC,5660,5540,25,M
VA,5729,5729,25,M
VA,5881,5405,25,M
VA,5898,5599,25,M
VA,5907,5606,25,M
VA,5950,5950,25,M
DC,5966,5752,25,M
IN,5982,5614,25,M
VA,6039,5894,25,M
MD,6042,5622,25,M
MD,6070,5832,25,M
VA,6075,5699,25,M
DC,6086,5793,25,M
DC,6094,5731,25,M
VA,6105,5599,25,M
VA,6140,5648,25,M
VA,6188,5787,25,M
MD,6188,5786,25,M
PA,6341,5939,25,M
MD,6367,6367,25,M
VA,6373,6214,25,M
DC,6451,6026,25,M
DC,6564,6564,25,M
MD,6573,6211,25,M
MD,6721,6608,25,M
DC,6838,6370,25,M
DC,6845,6565,25,M
TX,6939,6653,25,M
MD,7075,6833,25,M
VA,7118,6730,25,M
VA,7189,6812,25,M
VA,7704,7320,25,M
VA,7934,7482,25,M
VA,8091,7834,25,M
VA,8482,8009,25,M
Kenya,2836,2836,26,M
Lithuania,2961,2961,26,M
Colombia,2999,2998,26,M
DC,3175,3173,26,M
MD,3318,3316,26,M
VA,3349,3346,26,M
VA,3454,3452,26,M
MD,3684,3679,26,M
VA,3803,3785,26,M
MD,3848,3848,26,M
MD,3868,3863,26,M
VA,3983,3983,26,M
MD,4230,4212,26,M
MD,4260,4047,26,M
VA,4318,4318,26,M
DC,4334,4312,26,M
VA,4424,4147,26,M
VA,4437,4360,26,M
DC,4443,4396,26,M
DC,4634,4575,26,M
VA,4643,4601,26,M
MA,4668,4668,26,M
PA,4675,4400,26,M
VA,4728,4541,26,M
DC,4767,4348,26,M
VA,4832,4628,26,M
DC,4948,4866,26,M
DC,5042,4923,26,M
VA,5051,5051,26,M
MD,5052,4803,26,M
DC,5055,4760,26,M
DC,5064,4885,26,M
VA,5080,4644,26,M
DC,5081,4838,26,M
MD,5081,4949,26,M
DC,5139,4685,26,M
DC,5141,5066,26,M
VA,5203,5203,26,M
NJ,5207,4876,26,M
VA,5269,5222,26,M
VA,5272,5078,26,M
DC,5354,5170,26,M
MD,5355,5194,26,M
DC,5361,5056,26,M
DC,5422,5345,26,M
VA,5428,5074,26,M
DC,5452,5144,26,M
DC,5453,5185,26,M
MD,5457,4865,26,M
VA,5477,5177,26,M
DC,5492,5039,26,M
VA,5495,5381,26,M
VA,5510,5337,26,M
VA,5512,5344,26,M
MD,5533,5533,26,M
VA,5561,5197,26,M
VA,5578,5295,26,M
DC,5644,5644,26,M
DC,5647,5418,26,M
DC,5682,5564,26,M
VA,5682,5541,26,M
MI,5689,5177,26,M
MD,5732,5614,26,M
VA,5798,5445,26,M
DC,5817,5675,26,M
DC,5823,5415,26,M
VA,5842,5488,26,M
VA,5847,5495,26,M
DC,5854,5375,26,M
VA,5863,5502,26,M
DC,5865,5805,26,M
DC,5865,5377,26,M
VA,5936,5936,26,M
VA,5968,5754,26,M
VA,5987,5721,26,M
MD,5995,5518,26,M
MD,5998,5756,26,M
DC,6009,5780,26,M
VA,6021,5747,26,M
VA,6048,5745,26,M
VA,6086,6086,26,M
DC,6119,6119,26,M
NY,6146,5837,26,M
VA,6185,5678,26,M
MD,6206,6060,26,M
MD,6234,5823,26,M
MD,6236,5886,26,M
VA,6308,5911,26,M
VA,6320,5898,26,M
NY,6367,6085,26,M
VA,6429,6429,26,M
DC,6494,6244,26,M
VA,6549,6152,26,M
VA,6603,6394,26,M
VA,6608,6251,26,M
DC,6624,6541,26,M
MD,6657,6504,26,M
VA,6714,6381,26,M
DC,6770,6540,26,M
VA,6803,6803,26,M
VA,6816,6816,26,M
VA,6839,6730,26,M
MD,6912,6534,26,M
VA,7038,6735,26,M
VA,7125,6986,26,M
MA,7169,6676,26,M
DC,7455,7249,26,M
VA,7854,7436,26,M
DC,7946,7635,26,M
VA,8596,8596,26,M
Japan,2899,2899,27,M
Kenya,2963,2962,27,M
MD,3538,3536,27,M
DC,3555,3555,27,M
DC,3565,3557,27,M
VA,3644,3644,27,M
DC,3675,3672,27,M
VA,3689,3685,27,M
WV,3725,3717,27,M
DC,3767,3758,27,M
DC,3796,3796,27,M
VA,3945,3928,27,M
MD,3983,3983,27,M
VA,4010,4002,27,M
VA,4090,4034,27,M
DC,4149,4119,27,M
MD,4166,4109,27,M
MD,4238,4223,27,M
DC,4251,4222,27,M
VA,4276,4228,27,M
DC,4287,4269,27,M
VA,4306,4237,27,M
DC,4316,4302,27,M
VA,4411,4385,27,M
VA,4429,4385,27,M
DC,4442,4399,27,M
VA,4473,4473,27,M
DC,4473,4434,27,M
VA,4489,4422,27,M
DC,4499,4468,27,M
DC,4512,4512,27,M
DC,4515,4169,27,M
DC,4531,4531,27,M
DC,4543,4478,27,M
VA,4597,4485,27,M
DC,4600,4279,27,M
VA,4609,4609,27,M
VA,4665,4554,27,M
VA,4681,4511,27,M
DC,4749,4749,27,M
DC,4763,4607,27,M
DC,4773,4716,27,M
MD,4782,4693,27,M
VA,4797,4782,27,M
VA,4806,4646,27,M
DC,4825,4459,27,M
DC,4838,4808,27,M
VA,4854,4561,27,M
DC,4857,4764,27,M
DC,4866,4554,27,M
DC,4868,4840,27,M
VA,4881,4709,27,M
VA,4900,4731,27,M
DC,4903,4818,27,M
DC,4941,4857,27,M
VA,4943,4851,27,M
VA,5056,5034,27,M
VA,5074,4860,27,M
DC,5115,4818,27,M
MD,5122,4913,27,M
DC,5131,4951,27,M
DC,5142,4742,27,M
VA,5269,4903,27,M
MD,5269,5202,27,M
DC,5271,4844,27,M
VA,5311,5195,27,M
DC,5320,4823,27,M
VA,5322,4981,27,M
VA,5328,4838,27,M
DC,5329,5217,27,M
DC,5356,5253,27,M
MD,5356,4647,27,M
PA,5357,5023,27,M
DC,5367,5367,27,M
DC,5371,5045,27,M
VA,5390,5006,27,M
IA,5398,5322,27,M
VA,5438,5017,27,M
VA,5461,5096,27,M
NY,5467,5006,27,M
NY,5488,5014,27,M
DC,5540,5299,27,M
PA,5542,5174,27,M
MD,5563,5110,27,M
VA,5600,5435,27,M
VA,5703,5325,27,M
VA,5773,5554,27,M
VA,5778,5282,27,M
MD,5793,5583,27,M
NJ,5798,5667,27,M
DC,5845,5588,27,M
DC,5851,5684,27,M
VA,5860,5483,27,M
VA,5899,5629,27,M
VA,5914,5566,27,M
VA,5924,5699,27,M
MD,5924,5539,27,M
DC,5963,5705,27,M
MD,5967,5626,27,M
VA,5969,5657,27,M
VA,5976,5511,27,M
DC,6152,5817,27,M
VA,6164,5981,27,M
DC,6214,5834,27,M
VA,6223,5975,27,M
VA,6230,6230,27,M
MD,6248,5998,27,M
MD,6295,5851,27,M
MD,6354,6354,27,M
VA,6391,6000,27,M
PA,6421,6222,27,M
PA,6462,6044,27,M
VA,6513,6085,27,M
TN,6548,6054,27,M
DC,6586,6367,27,M
VA,6648,6350,27,M
DC,6727,6372,27,M
VA,6806,6806,27,M
DC,6889,6660,27,M
DC,6946,6614,27,M
MD,8184,7698,27,M
Kenya,2876,2875,28,M
VA,3276,3275,28,M
PA,3289,3289,28,M
VA,3546,3537,28,M
DC,3558,3540,28,M
DC,3598,3594,28,M
MD,3653,3634,28,M
DC,3676,3668,28,M
MD,3777,3773,28,M
VA,3805,3785,28,M
VA,3842,3842,28,M
VA,3969,3955,28,M
MD,4010,3993,28,M
DC,4089,4055,28,M
ME,4152,3897,28,M
VA,4321,4302,28,M
DC,4449,4418,28,M
MA,4449,4400,28,M
VA,4518,4325,28,M
DC,4619,4562,28,M
CA,4626,4527,28,M
NY,4641,4419,28,M
DC,4653,4566,28,M
DC,4663,4583,28,M
DC,4670,4664,28,M
DC,4693,4248,28,M
VA,4696,4598,28,M
VA,4700,4381,28,M
DC,4721,4684,28,M
DC,4785,4544,28,M
VA,4808,4683,28,M
DC,4840,4711,28,M
VA,4864,4421,28,M
DC,4879,4826,28,M
DC,4910,4661,28,M
VA,4911,4864,28,M
VA,4953,4953,28,M
VA,5036,5036,28,M
DC,5065,4955,28,M
VA,5069,5012,28,M
MD,5125,4854,28,M
DC,5141,4644,28,M
DC,5154,5022,28,M
DC,5162,5054,28,M
MD,5207,5065,28,M
VA,5231,5231,28,M
VA,5233,5194,28,M
VA,5308,5132,28,M
DC,5326,5159,28,M
VA,5345,5255,28,M
DC,5358,4930,28,M
VA,5365,4925,28,M
VA,5370,5188,28,M
VA,5382,5057,28,M
IM,5395,5028,28,M
MD,5414,4953,28,M
VA,5423,5060,28,M
VA,5443,5079,28,M
DC,5501,5374,28,M
DC,5505,5505,28,M
NY,5642,5279,28,M
VA,5680,5421,28,M
VA,5683,5509,28,M
DC,5705,5285,28,M
DC,5715,5597,28,M
VA,5753,5336,28,M
DC,5767,5559,28,M
MA,5815,5356,28,M
DC,5818,5818,28,M
VA,5857,5704,28,M
DC,5866,5488,28,M
MD,5879,5467,28,M
VA,5881,5881,28,M
VA,5885,5734,28,M
DC,5890,5425,28,M
DC,5908,5647,28,M
MD,5940,5940,28,M
MD,5944,5533,28,M
VA,5950,5655,28,M
DC,5951,5561,28,M
DC,5962,5791,28,M
DC,5979,5702,28,M
VA,5992,5714,28,M
MD,5999,5723,28,M
VA,6029,5661,28,M
VA,6057,5646,28,M
NY,6059,5696,28,M
VA,6068,5886,28,M
MD,6074,5962,28,M
VA,6110,5781,28,M
DC,6121,5680,28,M
MD,6125,5798,28,M
DC,6143,6143,28,M
VA,6146,5675,28,M
PA,6174,5786,28,M
VA,6265,6265,28,M
MD,6340,6340,28,M
DC,6367,6083,28,M
VA,6447,6148,28,M
VA,6498,6013,28,M
MD,6507,6129,28,M
VA,6552,6417,28,M
VA,6618,6385,28,M
VA,6622,6288,28,M
VA,6624,6308,28,M
VA,6726,6417,28,M
DC,6779,6360,28,M
VA,6805,6338,28,M
VA,6853,6394,28,M
DC,6899,6899,28,M
MD,6918,6918,28,M
VA,6920,6567,28,M
MD,6977,6503,28,M
VA,6997,6536,28,M
DC,7179,6833,28,M
VA,7240,6765,28,M
DC,7555,7075,28,M
DC,7636,7239,28,M
VA,8248,8151,28,M
Kenya,2816,2814,29,M
MD,3619,3619,29,M
VA,3639,3630,29,M
VA,3689,3677,29,M
VA,3760,3713,29,M
MD,3817,3809,29,M
VA,3818,3807,29,M
VA,3868,3859,29,M
VA,3910,3891,29,M
DC,3917,3909,29,M
PA,4062,4049,29,M
VA,4105,4087,29,M
DC,4164,4125,29,M
MA,4237,4212,29,M
VA,4244,3973,29,M
DC,4248,4186,29,M
VA,4349,4185,29,M
VA,4401,4303,29,M
VA,4449,4449,29,M
VA,4490,4490,29,M
VA,4491,4445,29,M
IL,4512,4474,29,M
MD,4516,4423,29,M
DC,4519,4496,29,M
NY,4525,4463,29,M
PA,4566,4566,29,M
DC,4567,4365,29,M
DC,4619,4559,29,M
MD,4633,4576,29,M
MD,4667,4643,29,M
VA,4670,4612,29,M
VA,4710,4710,29,M
DC,4710,4497,29,M
NC,4753,4379,29,M
MD,4769,4618,29,M
VA,4799,4746,29,M
DC,4844,4623,29,M
VA,4846,4570,29,M
VA,4852,4567,29,M
DC,4855,4801,29,M
MD,4857,4831,29,M
VA,4893,4692,29,M
VA,4925,4867,29,M
MD,4927,4927,29,M
VA,4930,4649,29,M
MD,4983,4723,29,M
MD,5062,4955,29,M
VA,5086,4786,29,M
DC,5098,4877,29,M
VA,5112,4662,29,M
MD,5135,4826,29,M
DC,5136,5063,29,M
PA,5142,4873,29,M
DC,5161,5082,29,M
DC,5203,5109,29,M
DC,5213,4894,29,M
MD,5232,5093,29,M
DC,5250,4817,29,M
DC,5282,5117,29,M
VA,5301,5301,29,M
VA,5327,5270,29,M
DC,5332,5116,29,M
DC,5343,5282,29,M
DC,5343,5024,29,M
MD,5384,5123,29,M
DC,5414,5022,29,M
VA,5439,4988,29,M
VA,5456,5214,29,M
DC,5463,5064,29,M
WI,5477,5477,29,M
MD,5481,5163,29,M
DC,5498,5198,29,M
DC,5505,5201,29,M
VA,5527,5204,29,M
MD,5538,5145,29,M
VA,5542,5174,29,M
MD,5555,5505,29,M
VA,5584,5584,29,M
VA,5584,5257,29,M
VA,5586,5237,29,M
MD,5612,5460,29,M
NJ,5628,5480,29,M
MD,5638,5282,29,M
DC,5708,5515,29,M
VA,5725,5534,29,M
DC,5750,5608,29,M
DE,5765,5290,29,M
PA,5796,5610,29,M
VA,5811,5520,29,M
DC,5835,5324,29,M
NJ,5852,5723,29,M
DC,5858,5516,29,M
NY,5864,5409,29,M
DC,5868,5414,29,M
VA,5883,5766,29,M
MD,5895,5757,29,M
VA,5901,5178,29,M
NY,5926,5469,29,M
VA,5935,5536,29,M
VA,5951,5625,29,M
MD,5973,5524,29,M
MD,5976,5626,29,M
VA,5978,5978,29,M
DC,5987,5800,29,M
VA,6019,5604,29,M
MD,6045,5606,29,M
GA,6052,6052,29,M
MD,6120,5721,29,M
WI,6136,5685,29,M
VA,6157,6157,29,M
DC,6217,5709,29,M
DC,6228,5723,29,M
MD,6249,6249,29,M
DC,6261,5895,29,M
VA,6277,5772,29,M
VA,6290,5810,29,M
DC,6433,6311,29,M
VA,6471,6049,29,M
VA,6534,6068,29,M
MD,6564,6119,29,M
DC,6597,6359,29,M
DC,6716,6529,29,M
CT,6731,6464,29,M
PA,6785,6367,29,M
MD,6850,6850,29,M
MD,6966,6499,29,M
VA,7060,6605,29,M
VA,7100,7100,29,M
VA,7152,7095,29,M
DC,7153,6976,29,M
VA,7575,7090,29,M
VA,7695,7327,29,M
OR,7739,7279,29,M
VA,7792,7290,29,M
Kenya,3028,3026,30,M
VA,3120,3120,30,M
VA,3312,3312,30,M
VA,3365,3361,30,M
VA,3373,3373,30,M
MD,3410,3405,30,M
MD,3693,3685,30,M
MD,3713,3705,30,M
VA,3899,3894,30,M
VA,4005,3990,30,M
MD,4017,4009,30,M
VA,4025,3982,30,M
DC,4084,4057,30,M
DC,4100,4036,30,M
DC,4133,4102,30,M
VA,4144,4144,30,M
DC,4146,4115,30,M
DC,4163,4140,30,M
DC,4189,4159,30,M
MD,4238,4213,30,M
VA,4277,4249,30,M
MD,4281,4209,30,M
VA,4310,4288,30,M
VA,4345,4337,30,M
VA,4353,4323,30,M
VA,4358,4288,30,M
VA,4361,4109,30,M
DC,4362,4296,30,M
VA,4369,4298,30,M
DC,4385,4331,30,M
DC,4393,4161,30,M
VA,4413,4371,30,M
DC,4477,4454,30,M
DC,4512,4460,30,M
VA,4524,4452,30,M
CA,4528,4320,30,M
NY,4534,4416,30,M
VA,4542,4499,30,M
NY,4589,4589,30,M
VA,4611,4429,30,M
VA,4613,4577,30,M
MA,4629,4451,30,M
NY,4699,4533,30,M
NY,4716,4690,30,M
VA,4727,4679,30,M
VA,4729,4688,30,M
VA,4795,4732,30,M
DC,4800,4725,30,M
GA,4842,4769,30,M
VA,4844,4666,30,M
VA,4880,4851,30,M
MD,4894,4855,30,M
VA,4931,4882,30,M
VA,4933,4862,30,M
DC,4945,4945,30,M
PA,4963,4523,30,M
VA,4987,4964,30,M
MD,4990,4803,30,M
VA,4991,4608,30,M
VA,5020,4723,30,M
VA,5027,4950,30,M
VA,5210,5131,30,M
MD,5221,4966,30,M
PA,5248,5248,30,M
VA,5253,5158,30,M
DC,5258,4751,30,M
VA,5273,5194,30,M
VA,5317,5170,30,M
DC,5326,5270,30,M
VA,5340,4867,30,M
VA,5342,4894,30,M
DC,5347,5235,30,M
DC,5356,5195,30,M
VA,5365,4995,30,M
MD,5365,5106,30,M
MD,5395,4982,30,M
MA,5397,5173,30,M
MD,5398,5325,30,M
DC,5407,5181,30,M
VA,5458,5233,30,M
DC,5467,5188,30,M
VA,5537,5270,30,M
VA,5543,5351,30,M
MD,5571,5107,30,M
VA,5613,5331,30,M
DC,5617,5293,30,M
DC,5642,5206,30,M
MD,5645,5437,30,M
DC,5647,5589,30,M
OH,5659,5659,30,M
VA,5704,5622,30,M
VA,5707,5518,30,M
MD,5735,5271,30,M
DC,5742,5368,30,M
VA,5747,5388,30,M
DC,5752,5482,30,M
MD,5772,5345,30,M
NY,5780,5321,30,M
DC,5782,5583,30,M
MD,5788,5665,30,M
DC,5807,5582,30,M
VA,5827,5484,30,M
PA,5844,5844,30,M
VA,5899,5429,30,M
MA,5900,5900,30,M
VA,5912,5535,30,M
VA,5918,5751,30,M
MD,5938,5434,30,M
VA,5964,5587,30,M
MD,5974,5877,30,M
DC,6015,5621,30,M
DC,6037,5555,30,M
VA,6038,5848,30,M
DC,6051,5774,30,M
VA,6064,6064,30,M
VA,6070,5678,30,M
DC,6082,5667,30,M
MD,6099,5880,30,M
MD,6125,5654,30,M
MD,6144,5675,30,M
DC,6186,5848,30,M
VA,6189,5698,30,M
VA,6192,5945,30,M
VA,6215,5846,30,M
MD,6270,5992,30,M
VA,6286,5856,30,M
VA,6286,5834,30,M
MD,6303,5972,30,M
MD,6386,5937,30,M
VA,6443,6051,30,M
VA,6469,5995,30,M
VA,6484,6172,30,M
MD,6511,6314,30,M
DC,6551,6337,30,M
VA,6554,6094,30,M
DC,6575,6487,30,M
PA,6578,6245,30,M
DC,6854,6854,30,M
DC,7180,6788,30,M
VA,7394,7007,30,M
NY,7565,7565,30,M
MD,9857,9349,30,M
Australia,2872,2872,31,M
Kenya,2891,2891,31,M
Kenya,3029,3028,31,M
DC,3522,3518,31,M
VA,3640,3640,31,M
DC,3700,3696,31,M
VA,3730,3722,31,M
VA,3783,3774,31,M
VA,3797,3797,31,M
VA,3851,3841,31,M
VA,4076,4045,31,M
VA,4087,4075,31,M
DC,4173,4173,31,M
MD,4266,4231,31,M
DC,4274,4250,31,M
VA,4294,4262,31,M
DC,4327,4291,31,M
ME,4369,4316,31,M
NY,4448,4399,31,M
VA,4485,4430,31,M
DC,4487,4301,31,M
VA,4488,4445,31,M
VA,4532,4479,31,M
DC,4603,4567,31,M
VA,4609,4543,31,M
VA,4610,4458,31,M
DC,4618,4543,31,M
VA,4633,4493,31,M
VA,4641,4607,31,M
VA,4660,4418,31,M
DC,4772,4772,31,M
VA,4781,4697,31,M
DC,4830,4701,31,M
MD,4832,4800,31,M
DC,4862,4817,31,M
DC,4864,4764,31,M
DC,4905,4534,31,M
MD,4920,4680,31,M
VA,4943,4882,31,M
VA,4943,4534,31,M
VA,4952,4841,31,M
VA,4967,4745,31,M
MD,5040,4853,31,M
VA,5059,5059,31,M
VA,5084,4887,31,M
VA,5085,4701,31,M
DC,5087,4980,31,M
MD,5117,4873,31,M
VA,5124,5124,31,M
DC,5126,5013,31,M
DC,5131,4807,31,M
VA,5137,4887,31,M
VA,5169,4783,31,M
VA,5176,4691,31,M
VA,5177,5073,31,M
VA,5200,4715,31,M
MD,5209,5140,31,M
DC,5213,5121,31,M
DC,5216,4886,31,M
VA,5219,5154,31,M
DC,5224,4857,31,M
VA,5255,5017,31,M
VA,5269,5050,31,M
DC,5285,4892,31,M
DC,5320,5136,31,M
DC,5326,5298,31,M
VA,5354,5102,31,M
MD,5359,5309,31,M
VA,5364,5215,31,M
MD,5378,5143,31,M
DC,5380,5153,31,M
VA,5390,4884,31,M
MD,5394,5052,31,M
