sessionID,dept,level,sem,enroll,iid
session2015,G,100,FA2001,33,inst196
session2016,G,100,FA2001,30,inst197
session2017,G,100,FA2001,16,inst188
session2018,G,100,FA2001,32,inst198
session2019,M,100,FA2001,29,inst257
session2020,M,100,FA2001,27,inst257
session2021,M,100,FA2001,16,inst263
session2022,M,100,FA2001,27,inst258
session2023,M,100,FA2001,27,inst259
session2024,M,100,FA2001,21,inst266
session2025,M,100,FA2001,21,inst264
session2026,M,100,FA2001,12,inst263
session2028,M,300,FA2001,12,inst272
session2029,R,100,FA2001,16,inst330
session2030,R,300,FA2001,54,inst332
session2031,W,100,FA2001,16,inst211
session2032,W,100,FA2001,23,inst368
session2033,W,100,FA2001,26,inst372
session2034,W,100,FA2001,16,inst374
session2035,W,100,FA2001,23,inst138
session2037,W,200,FA2001,18,inst374
session2038,W,200,FA2001,31,inst378
session2039,W,300,FA2001,16,inst373
session2040,W,300,FA2001,15,inst381
session2042,W,400,FA2001,14,inst372
session2043,P,200,FA2001,10,inst320
session2044,m,100,FA2001,16,inst436
session2045,m,100,FA2001,32,inst482
session2046,m,100,FA2001,34,inst484
session2047,g,100,FA2001,12,inst436
session2047,m,100,FA2001,28,inst436
session2048,m,100,FA2001,25,inst483
session2049,m,200,FA2001,28,inst490
session2051,p,100,FA2001,13,inst473
session2052,p,100,FA2001,12,inst473
session2053,p,100,FA2001,26,inst515
session2054,p,100,FA2001,27,inst515
session2056,C,100,FA2001,28,inst140
session2057,C,100,FA2001,23,inst142
session2058,C,100,FA2001,16,inst143
session2059,C,300,FA2001,22,inst144
session2060,D,200,FA2001,17,inst166
session2061,D,200,FA2001,16,inst158
session2062,D,200,FA2001,19,inst159
session2063,D,200,FA2001,17,inst161
session2064,D,200,FA2001,10,inst162
session2065,D,200,FA2001,72,inst150
session2066,D,300,FA2001,11,inst168
session2067,D,300,FA2001,29,inst167
session2067,H,300,FA2001,10,inst167
session2068,D,300,FA2001,36,inst163
session2070,H,100,FA2001,16,inst204
session2072,H,100,FA2001,19,inst204
session2073,i,200,FA2001,15,inst209
session2076,I,300,FA2001,16,inst128
session2077,S,300,FA2001,16,inst341
session2078,S,100,FA2001,13,inst338
session2080,t,100,FA2001,23,inst356
session2081,t,200,FA2001,23,inst356
session2082,P,200,FA2001,46,inst187
session2083,Y,100,FA2001,22,inst393
session2084,Y,100,FA2001,22,inst393
session2085,Y,200,FA2001,15,inst394
session2087,i,100,FA2001,24,inst423
session2088,i,100,FA2001,16,inst437
session2089,i,100,FA2001,29,inst438
session2090,i,100,FA2001,22,inst400
session2091,i,100,FA2001,16,inst400
session2093,i,200,FA2001,21,inst437
session2094,N,200,FA2001,15,inst278
session2095,j,100,FA2001,52,inst447
session2096,j,100,FA2001,16,inst447
session2097,j,100,FA2001,21,inst455
session2098,j,100,FA2001,23,inst455
session2100,k,100,FA2001,16,inst465
session2101,k,100,FA2001,23,inst467
session2102,k,100,FA2001,18,inst440
session2103,k,100,FA2001,22,inst440
session2104,k,100,FA2001,19,inst462
session2105,k,200,FA2001,23,inst467
session2106,n,100,FA2001,29,inst501
session2107,n,100,FA2001,15,inst499
session2109,n,300,FA2001,17,inst500
session2111,q,100,FA2001,20,inst364
session2112,q,200,FA2001,16,inst357
session2113,q,200,FA2001,18,inst359
session2114,q,100,FA2001,21,inst359
session2115,q,100,FA2001,21,inst355
session2116,q,200,FA2001,11,inst364
session2117,q,200,FA2001,22,inst357
session2119,q,200,FA2001,23,inst526
session2120,q,300,FA2001,14,inst355
session2121,q,100,FA2001,21,inst360
session2123,q,300,FA2001,16,inst358
session2124,q,300,FA2001,18,inst528
session2125,q,300,FA2001,13,inst357
session2126,q,100,FA2001,20,inst523
session2127,q,300,FA2001,20,inst526
session2129,q,100,FA2001,13,inst214
session2130,q,200,FA2001,19,inst359
session2131,F,100,FA2001,42,inst187
session2132,F,100,FA2001,50,inst184
session2133,F,100,FA2001,26,inst190
session2134,F,100,FA2001,22,inst180
session2135,J,100,FA2001,26,inst219
session2136,J,100,FA2001,19,inst221
session2137,J,100,FA2001,15,inst223
session2138,J,100,FA2001,17,inst224
session2139,J,100,FA2001,15,inst230
session2140,J,100,FA2001,15,inst230
session2141,J,100,FA2001,15,inst220
session2142,J,100,FA2001,31,inst220
session2143,J,200,FA2001,16,inst223
session2144,T,100,FA2001,18,inst345
session2145,T,100,FA2001,17,inst346
session2146,T,100,FA2001,11,inst345
session2147,T,200,FA2001,10,inst349
session2148,T,300,FA2001,16,inst347
session2149,b,100,FA2001,24,inst402
session2150,b,100,FA2001,16,inst401
session2151,b,100,FA2001,16,inst402
session2152,b,200,FA2001,21,inst401
session2154,o,300,FA2001,11,inst390
session2155,e,100,FA2001,39,inst424
session2156,e,100,FA2001,23,inst426
session2157,e,100,FA2001,26,inst426
session2158,e,200,FA2001,15,inst429
session2159,C,100,SP2002,26,inst141
session2160,C,100,SP2002,31,inst140
session2161,C,200,SP2002,46,inst143
session2162,C,300,SP2002,13,inst143
session2163,D,200,SP2002,13,inst166
session2164,D,200,SP2002,14,inst157
session2166,D,200,SP2002,13,inst159
session2168,D,200,SP2002,27,inst159
session2169,D,300,SP2002,18,inst167
session2170,D,400,SP2002,85,inst150
session2171,D,400,SP2002,105,inst150
session2172,F,100,SP2002,29,inst175
session2173,F,100,SP2002,32,inst188
session2174,F,100,SP2002,33,inst190
session2175,S,100,SP2002,29,inst341
session2176,F,300,SP2002,18,inst192
session2177,H,100,SP2002,12,inst207
session2178,H,100,SP2002,24,inst208
session2179,H,100,SP2002,32,inst207
session2180,H,400,SP2002,16,inst204
session2181,p,200,SP2002,16,inst517
session2182,p,300,SP2002,18,inst511
session2183,p,300,SP2002,16,inst511
session2185,n,200,SP2002,14,inst499
session2188,n,300,SP2002,13,inst500
session2191,m,100,SP2002,37,inst481
session2192,m,100,SP2002,37,inst481
session2193,m,100,SP2002,69,inst436
session2194,m,100,SP2002,71,inst488
session2195,m,200,SP2002,13,inst492
session2196,m,200,SP2002,20,inst483
session2198,k,100,SP2002,27,inst459
session2199,k,100,SP2002,18,inst440
session2200,k,100,SP2002,24,inst472
session2201,k,100,SP2002,22,inst462
session2204,j,100,SP2002,55,inst447
session2205,j,100,SP2002,59,inst447
session2206,j,100,SP2002,62,inst448
session2207,j,100,SP2002,11,inst455
session2208,j,100,SP2002,32,inst455
session2209,j,200,SP2002,10,inst452
session2210,i,100,SP2002,24,inst437
session2211,i,100,SP2002,26,inst423
session2212,i,100,SP2002,25,inst209
session2213,i,100,SP2002,27,inst209
session2214,i,100,SP2002,18,inst400
session2215,N,200,SP2002,13,inst281
session2216,i,200,SP2002,19,inst400
session2217,i,300,SP2002,26,inst209
session2218,b,100,SP2002,15,inst402
session2219,Y,100,SP2002,17,inst396
session2220,Y,100,SP2002,16,inst396
session2221,Y,200,SP2002,17,inst394
session2222,Y,300,SP2002,10,inst169
session2223,S,200,SP2002,15,inst340
session2224,G,200,FA2001,34,inst202
session2225,J,100,SP2002,33,inst220
session2226,J,100,SP2002,20,inst229
session2228,J,200,SP2002,11,inst230
session2229,J,200,SP2002,11,inst219
session2230,J,300,SP2002,19,inst224
session2231,M,100,SP2002,14,inst257
session2232,M,100,SP2002,24,inst257
session2233,M,100,SP2002,26,inst263
session2234,M,100,SP2002,26,inst263
session2235,M,100,SP2002,31,inst264
session2236,M,100,SP2002,25,inst264
session2237,M,100,SP2002,19,inst268
session2238,M,100,SP2002,22,inst259
session2239,M,200,SP2002,20,inst258
session2240,M,300,SP2002,18,inst263
session2241,M,300,SP2002,19,inst259
session2242,R,100,SP2002,35,inst330
session2243,R,200,SP2002,29,inst330
session2244,T,100,SP2002,10,inst347
session2245,T,100,SP2002,11,inst346
session2246,T,100,SP2002,14,inst349
session2247,W,100,SP2002,19,inst374
session2248,W,300,SP2002,14,inst381
session2249,W,300,SP2002,25,inst337
session2250,W,300,SP2002,11,inst211
session2251,W,300,SP2002,22,inst211
session2252,W,400,SP2002,19,inst372
session2253,W,400,SP2002,19,inst372
session2254,L,100,FA2001,15,inst244
session2255,L,100,FA2001,16,inst247
session2256,L,100,FA2001,12,inst250
session2257,L,100,FA2001,16,inst244
session2259,L,300,FA2001,20,inst251
session2260,q,100,SP2002,15,inst214
session2261,q,100,SP2002,12,inst359
session2262,q,100,SP2002,15,inst524
session2263,q,100,SP2002,20,inst355
session2264,q,100,SP2002,13,inst359
session2265,q,200,SP2002,16,inst364
session2266,q,200,SP2002,11,inst357
session2267,q,200,SP2002,20,inst526
session2268,q,200,SP2002,16,inst362
session2269,q,200,SP2002,20,inst530
session2270,q,200,SP2002,20,inst359
session2271,q,200,SP2002,21,inst530
session2272,q,200,SP2002,24,inst358
session2273,q,300,SP2002,11,inst530
session2275,q,300,SP2002,13,inst355
session2276,q,300,SP2002,14,inst526
session2277,q,300,SP2002,18,inst526
session2278,e,100,SP2002,14,inst425
session2279,e,100,SP2002,22,inst430
session2281,e,300,SP2002,11,inst434
session2282,e,300,SP2002,28,inst429
session2283,N,200,FA2001,12,inst274
session2285,p,200,SP2002,32,inst473
session2286,L,100,SP2002,10,inst248
session2287,L,300,SP2002,10,inst251
session2288,U,100,SP2002,14,inst345
session2289,F,100,SP2002,27,inst187
session2290,O,100,FA2001,13,inst286
session2291,O,100,FA2001,16,inst288
session2292,O,100,FA2001,16,inst292
session2294,O,100,FA2001,16,inst163
session2295,O,100,FA2001,25,inst300
session2296,O,100,FA2001,20,inst291
session2297,O,100,FA2001,17,inst285
session2298,O,100,FA2001,13,inst285
session2299,O,200,FA2001,24,inst310
session2302,O,100,SP2002,15,inst290
session2303,O,100,SP2002,16,inst293
session2304,O,100,SP2002,23,inst285
session2305,O,100,SP2002,18,inst309
session2306,O,100,SP2002,20,inst291
session2307,O,200,SP2002,16,inst300
session2308,O,300,SP2002,18,inst293
session2311,X,300,FA2001,14,inst391
session2313,O,400,SP2002,23,inst300
session2314,O,400,SP2002,14,inst288
session2315,p,300,SP2002,14,inst511
session2316,p,100,SP2002,20,inst515
session2317,I,100,SP2002,18,inst213
session2318,i,300,SP2002,21,inst438
session2319,G,100,SP2002,40,inst196
session2320,G,100,SP2002,24,inst197
session2321,G,100,SP2002,19,inst196
session2322,G,200,SP2002,22,inst202
session2324,L,100,SP2002,20,inst245
session2325,t,100,SP2002,13,inst535
session2326,E,100,SP2002,20,inst169
session2327,L,300,SP2002,12,inst256
session2328,R,100,SP2002,15,inst333
session2329,R,100,FA2001,33,inst330
session2330,F,100,SP2002,11,inst181
session2331,m,200,SP2002,28,inst483
session2332,m,200,FA2001,27,inst492
session2333,F,100,FA2001,16,inst176
session2334,O,300,SP2002,17,inst309
session2335,j,300,FA2001,42,inst447
session2336,O,200,FA2001,24,inst310
session2337,n,300,SP2002,16,inst503
session2338,F,100,FA2001,16,inst180
session2339,W,300,FA2001,16,inst369
session2340,F,100,FA2001,14,inst175
session2341,R,300,SP2002,10,inst336
session2342,q,200,FA2001,17,inst523
session2343,A,100,SP2002,17,inst126
session2344,C,100,FA2001,28,inst140
session2345,J,100,FA2001,16,inst226
session2346,O,100,FA2001,10,inst293
session2347,N,200,SP2002,10,inst282
session2348,N,300,SP2002,21,inst283
session2349,d,100,SP2002,20,inst414
session2352,W,300,SP2002,17,inst337
session2354,m,100,SP2002,11,inst487
session2355,O,300,SP2002,21,inst291
session2357,k,200,SP2002,25,inst459
session2358,m,300,SP2002,20,inst496
session2359,n,200,SP2002,28,inst136
session2360,n,100,SP2002,27,inst504
session2361,p,100,SP2002,16,inst512
session2362,p,100,SP2002,17,inst512
session2363,D,600,SP2002,27,inst150
session2364,L,300,SP2002,14,inst248
session2365,W,300,SP2002,19,inst384
session2367,I,300,SP2002,19,inst213
session2368,O,100,SP2002,17,inst295
session2369,d,200,SP2002,12,inst418
session2370,I,300,SP2002,12,inst217
session2371,I,300,SP2002,12,inst217
session2372,p,300,FA2002,13,inst128
session2373,N,200,FA2002,25,inst275
session2374,N,200,FA2002,20,inst278
session2375,N,200,FA2002,21,inst274
session2376,R,100,FA2002,25,inst318
session2377,R,100,FA2002,20,inst333
session2378,R,200,FA2002,24,inst330
session2379,R,200,FA2002,29,inst334
session2380,R,100,FA2002,49,inst332
session2381,R,300,FA2002,10,inst333
session2382,I,100,SP2003,17,inst128
session2384,N,200,SP2003,35,inst280
session2385,N,200,SP2003,13,inst281
session2386,N,300,SP2003,18,inst278
session2387,R,100,SP2003,36,inst331
session2388,R,100,SP2003,21,inst333
session2389,R,200,SP2003,27,inst318
session2390,R,300,SP2003,24,inst318
session2391,R,300,SP2003,33,inst330
session2392,d,200,SP2002,29,inst411
session2393,W,100,FA2002,13,inst372
session2394,W,200,FA2002,20,inst375
session2395,W,200,FA2002,29,inst378
session2396,W,300,FA2002,17,inst354
session2397,W,300,FA2002,19,inst354
session2398,W,300,FA2002,18,inst381
session2399,W,300,FA2002,41,inst211
session2400,W,300,FA2002,18,inst370
session2401,W,300,FA2002,12,inst369
session2402,q,100,FA2002,17,inst214
session2403,q,100,FA2002,22,inst364
session2404,q,100,FA2002,21,inst355
session2405,q,100,FA2002,20,inst358
session2406,q,100,FA2002,14,inst362
session2407,q,100,FA2002,19,inst357
session2408,q,100,FA2002,18,inst214
session2409,q,200,FA2002,14,inst364
session2410,q,200,FA2002,17,inst524
session2411,q,200,FA2002,16,inst363
session2412,q,200,FA2002,21,inst524
session2413,q,200,FA2002,18,inst362
session2414,q,200,FA2002,19,inst363
session2415,q,200,FA2002,16,inst525
session2416,q,200,FA2002,15,inst526
session2417,q,200,FA2002,18,inst526
session2418,q,300,FA2002,16,inst528
session2419,q,300,FA2002,15,inst528
session2420,q,300,FA2002,15,inst357
session2421,q,300,FA2002,16,inst357
session2422,q,300,FA2002,13,inst524
session2423,q,300,FA2002,14,inst526
session2424,q,300,FA2002,21,inst358
session2425,C,100,FA2002,28,inst141
session2426,C,100,FA2002,32,inst144
session2427,C,200,FA2002,20,inst142
session2428,C,200,FA2002,30,inst143
session2429,C,300,FA2002,18,inst140
session2430,C,300,FA2002,14,inst144
session2431,F,100,FA2002,32,inst182
session2432,F,100,FA2002,28,inst185
session2433,F,100,FA2002,28,inst186
session2434,F,100,FA2002,30,inst180
session2435,F,400,FA2002,32,inst184
session2436,M,100,FA2002,23,inst257
session2437,M,100,FA2002,22,inst257
session2439,M,100,FA2002,21,inst266
session2440,M,100,FA2002,21,inst266
session2441,M,100,FA2002,20,inst261
session2442,M,100,FA2002,24,inst267
session2443,M,100,FA2002,26,inst264
session2444,M,100,FA2002,12,inst264
session2445,M,300,FA2002,29,inst269
session2446,M,300,FA2002,33,inst266
session2447,X,100,FA2002,26,inst386
session2448,P,200,FA2002,10,inst320
session2448,X,200,FA2002,13,inst320
session2449,X,300,FA2002,18,inst389
session2450,X,300,FA2002,14,inst389
session2451,X,300,FA2002,20,inst392
session2452,Y,100,FA2002,10,inst394
session2454,Y,200,FA2002,13,inst397
session2455,Y,200,FA2002,21,inst397
session2456,Y,300,FA2002,10,inst394
session2457,t,100,FA2002,16,inst134
session2458,t,200,FA2002,23,inst134
session2459,t,300,FA2002,16,inst536
session2460,p,100,FA2002,19,inst511
session2461,p,100,FA2002,17,inst353
session2462,p,200,FA2002,19,inst353
session2463,p,300,FA2002,13,inst511
session2464,p,300,FA2002,17,inst511
session2465,d,100,FA2002,93,inst129
session2466,d,100,FA2002,31,inst408
session2467,d,100,FA2002,25,inst408
session2468,d,100,FA2002,27,inst411
session2471,d,100,FA2002,23,inst242
session2472,d,100,FA2002,32,inst411
session2473,d,100,FA2002,28,inst412
session2474,d,100,FA2002,18,inst408
session2475,d,100,FA2002,27,inst413
session2476,d,100,FA2002,23,inst415
session2477,d,200,FA2002,23,inst409
session2479,d,200,FA2002,20,inst243
session2480,d,200,FA2002,24,inst415
session2481,d,300,FA2002,21,inst409
session2482,d,300,FA2002,18,inst243
session2483,K,100,FA2002,14,inst237
session2485,K,200,FA2002,32,inst239
session2486,K,200,FA2002,15,inst242
session2488,n,100,FA2002,23,inst170
session2489,n,100,FA2002,24,inst500
session2490,n,100,FA2002,10,inst126
session2491,n,200,FA2002,34,inst170
session2492,n,200,FA2002,17,inst126
session2493,n,300,FA2002,10,inst500
session2494,n,300,FA2002,11,inst500
session2495,n,300,FA2002,29,inst502
session2496,b,100,FA2002,37,inst402
session2497,b,100,FA2002,15,inst401
session2498,b,200,FA2002,19,inst401
session2499,k,100,FA2002,21,inst459
session2500,k,100,FA2002,23,inst459
session2501,k,100,FA2002,24,inst441
session2502,k,100,FA2002,24,inst463
session2503,k,200,FA2002,26,inst467
session2504,k,200,FA2002,23,inst468
session2505,k,200,FA2002,20,inst125
session2506,k,300,FA2002,27,inst472
session2507,k,300,FA2002,12,inst462
session2508,k,300,FA2002,22,inst462
session2509,i,400,FA2002,14,inst400
session2509,k,400,FA2002,10,inst400
session2510,j,100,FA2002,59,inst447
session2511,j,100,FA2002,44,inst447
session2512,j,100,FA2002,38,inst451
session2514,j,100,FA2002,44,inst241
session2515,j,100,FA2002,13,inst455
session2516,j,200,FA2002,17,inst452
session2518,D,200,FA2002,14,inst149
session2519,D,200,FA2002,13,inst149
session2520,D,200,FA2002,16,inst157
session2521,D,200,FA2002,15,inst158
session2522,D,200,FA2002,16,inst159
session2524,D,200,FA2002,59,inst150
session2525,D,300,FA2002,21,inst167
session2526,D,300,FA2002,50,inst150
session2527,D,300,FA2002,16,inst168
session2528,D,300,FA2002,18,inst161
session2529,G,100,FA2002,40,inst197
session2530,G,100,FA2002,19,inst188
session2531,G,100,FA2002,14,inst200
session2532,G,200,FA2002,68,inst202
session2533,P,200,FA2002,42,inst177
session2534,S,200,FA2002,48,inst339
session2535,S,100,FA2002,20,inst340
session2536,S,300,FA2002,11,inst342
session2538,T,100,FA2002,12,inst346
session2539,T,200,FA2002,10,inst349
session2540,T,200,FA2002,10,inst346
session2541,g,100,FA2002,13,inst436
session2541,m,100,FA2002,21,inst436
session2542,i,100,FA2002,24,inst439
session2543,i,100,FA2002,23,inst439
session2544,i,100,FA2002,21,inst209
session2545,i,200,FA2002,27,inst209
session2546,m,100,FA2002,37,inst483
session2547,m,100,FA2002,34,inst481
session2548,m,200,FA2002,19,inst481
session2549,m,200,FA2002,30,inst406
session2550,m,200,FA2002,25,inst476
session2551,m,200,FA2002,26,inst406
session2552,m,400,FA2002,15,inst490
session2553,L,100,FA2002,10,inst245
session2554,Q,100,FA2002,18,inst322
session2555,Q,100,FA2002,13,inst322
session2557,Q,200,FA2002,11,inst323
session2558,Q,200,FA2002,16,inst323
session2559,Q,200,FA2002,15,inst327
session2560,Q,200,FA2002,10,inst321
session2561,Q,300,FA2002,20,inst322
session2562,Q,300,FA2002,22,inst327
session2563,e,100,FA2002,35,inst254
session2564,e,100,FA2002,20,inst428
session2565,e,200,FA2002,15,inst429
session2566,e,200,FA2002,17,inst424
session2567,J,100,FA2002,19,inst221
session2568,J,100,FA2002,15,inst223
session2569,J,100,FA2002,19,inst224
session2570,J,100,FA2002,18,inst230
session2571,J,100,FA2002,14,inst225
session2572,J,100,FA2002,23,inst220
session2573,J,200,FA2002,11,inst223
session2574,J,200,FA2002,11,inst217
session2575,O,100,FA2002,15,inst289
session2576,O,100,FA2002,16,inst289
session2577,O,100,FA2002,17,inst293
session2580,O,100,FA2002,23,inst305
session2581,O,100,FA2002,22,inst300
session2582,O,100,FA2002,15,inst308
session2584,O,200,FA2002,19,inst310
session2585,O,200,FA2002,19,inst310
session2586,O,200,FA2002,16,inst293
session2588,O,300,FA2002,15,inst293
session2589,O,300,FA2002,14,inst306
session2590,O,300,FA2002,20,inst308
session2591,O,300,FA2002,17,inst298
session2592,O,400,FA2002,23,inst300
session2593,O,400,FA2002,21,inst288
session2594,H,100,FA2002,18,inst205
session2595,H,100,FA2002,16,inst208
session2596,H,100,FA2002,16,inst206
session2599,J,300,FA2002,14,inst220
session2600,A,300,SP2003,12,inst125
session2601,C,100,SP2003,30,inst143
session2602,C,100,SP2003,34,inst141
session2603,C,100,SP2003,19,inst146
session2604,C,300,SP2003,19,inst141
session2606,C,300,SP2003,25,inst143
session2607,C,300,SP2003,13,inst144
session2608,F,100,SP2003,21,inst182
session2609,F,100,SP2003,19,inst177
session2610,F,100,SP2003,30,inst184
session2611,F,100,SP2003,40,inst190
session2612,F,200,SP2003,16,inst182
session2613,F,300,SP2003,17,inst192
session2614,F,300,SP2003,17,inst185
session2617,D,200,SP2003,14,inst149
session2618,D,200,SP2003,15,inst157
session2619,D,200,SP2003,15,inst158
session2622,D,300,SP2003,21,inst167
session2623,D,400,SP2003,59,inst150
session2624,D,400,SP2003,58,inst150
session2625,G,100,SP2003,31,inst197
session2626,G,100,SP2003,35,inst197
session2628,G,200,SP2003,52,inst201
session2629,H,100,SP2003,12,inst207
session2631,H,200,SP2003,11,inst208
session2633,H,100,SP2003,14,inst208
session2634,H,100,SP2003,17,inst205
session2635,H,100,SP2003,24,inst207
session2636,J,100,SP2003,17,inst217
session2637,J,100,SP2003,20,inst222
session2638,J,100,SP2003,10,inst219
session2639,J,200,SP2003,16,inst137
session2641,J,300,SP2003,15,inst220
session2642,J,300,SP2003,15,inst137
session2643,J,300,SP2003,15,inst232
session2644,M,100,SP2003,21,inst257
session2645,M,100,SP2003,21,inst263
session2646,M,100,SP2003,23,inst263
session2647,M,100,SP2003,20,inst261
session2648,M,100,SP2003,16,inst261
session2649,M,100,SP2003,17,inst263
session2650,M,100,SP2003,21,inst268
session2651,M,200,SP2003,21,inst257
session2652,M,200,SP2003,23,inst258
session2653,M,200,SP2003,17,inst268
session2654,M,300,SP2003,20,inst269
session2655,M,300,SP2003,28,inst266
session2656,M,400,SP2003,18,inst266
session2657,X,300,SP2003,14,inst320
session2658,b,100,SP2003,21,inst401
session2659,b,300,SP2003,14,inst401
session2660,H,100,FA2002,16,inst204
session2661,H,300,FA2002,12,inst205
session2662,S,100,SP2003,19,inst342
session2663,S,200,SP2003,10,inst340
session2664,S,300,SP2003,12,inst341
session2665,S,300,SP2003,18,inst339
session2667,T,100,SP2003,12,inst348
session2668,T,300,SP2003,12,inst346
session2669,W,100,SP2003,19,inst369
session2670,W,200,SP2003,23,inst138
session2671,W,200,SP2003,25,inst138
session2672,W,200,SP2003,34,inst378
session2673,W,300,SP2003,10,inst380
session2674,W,300,SP2003,10,inst380
session2675,W,300,SP2003,14,inst148
session2676,W,300,SP2003,15,inst148
session2677,W,300,SP2003,22,inst370
session2678,W,300,SP2003,28,inst369
session2679,W,300,SP2003,12,inst370
session2680,W,400,SP2003,17,inst372
session2681,W,400,SP2003,12,inst372
session2682,W,400,SP2003,18,inst138
session2684,Y,200,SP2003,21,inst397
session2685,Y,300,SP2003,10,inst394
