LAND,SPECIES,SITE,STAGE,HABSPEC,SITESPEC,REP,SAMPPER,PLNO,JULDAY,PERNODN,RF,SNF,SLA,PERLEAFN,DEL,ONECM,FIVECM,PERH2O,DELNOD,NPERAREA,NDiff,delDiff,logSNF
FP,AT,1B,Early,FPATEarly,1BAT,2,middle,69,203,NA,G7,NA,3.390290209,3.306,-0.9169,18.4,16.8,30.58788394,0.085984523,11.20829943,NA,-1.002884523,NA
FP,AT,1B,Early,FPATEarly,1BAT,2,middle,65,203,NA,G7,NA,5.936774855,3.353,-1.1225,18.8,16.4,10.38653335,NA,19.90600609,NA,NA,NA
FP,AT,1B,Early,FPATEarly,1BAT,2,middle,66,203,NA,G7,NA,5.590211855,3.482,-1.3773,19.2,15.8,32.86065899,0.125923012,19.46511768,NA,-1.503223012,NA
FP,AT,1B,Early,FPATEarly,1BAT,2,late,178,241,1.173,G7,3.430514414,3.917668686,3.503,-0.8691,11.2,9.9,22.69808936,1.744617148,13.72359341,2.33,-2.613717148,1.232710225
FP,AT,1B,Early,FPATEarly,1BAT,2,middle,68,203,NA,G7,NA,4.731338336,3.575,-1.2925,18.7,16.4,15.58201067,-0.266361994,16.91453455,NA,-1.026138006,NA
FP,AT,1C,Early,FPATEarly,1CAT,3,early,53,183,1.72,G7,16.25365714,8.545038122,2.071,-1.1028,7.5,6.7,26.55340641,-2.255797269,17.69677395,0.351,1.152997269,2.788317938
FP,AT,1C,Early,FPATEarly,1CAT,3,late,130,231,2.054,G7,11.02882839,6.90112407,2.144,-1.3458,10.4,9.8,31.69754242,0.648601537,14.79601001,0.09,-1.994401537,2.400512607
FP,AT,1C,Early,FPATEarly,1CAT,3,late,129,231,1.674,G7,5.268104184,6.59976494,2.282,-1.5574,9.5,9.2,32.75883405,2.922843744,15.06066359,0.608,-4.480243744,1.66167056
FP,AT,1C,Early,FPATEarly,1CAT,3,late,127,231,2.022,G7,14.64142227,5.243648856,2.319,-1.8578,8.8,8.3,29.98943607,2.237827043,12.1600217,0.297,-4.095627043,2.683854653
FP,AT,1C,Early,FPATEarly,1CAT,3,late,122,231,1.955,G7,6.970446103,5.680619594,2.33,-1.1906,9.5,9.3,30.80224944,1.443211978,13.23584365,0.375,-2.633811978,1.941679226
FP,AT,1C,Early,FPATEarly,1CAT,3,early,56,183,1.549,G7,16.34673333,7.210017177,2.354,-1.7737,6.5,6.2,29.41035153,0.292398359,16.97238043,0.805,-2.066098359,2.794028081
FP,AT,1C,Early,FPATEarly,1CAT,3,late,123,231,1.897,G7,2.393840306,5.198444987,2.369,-1.5618,9.2,8.8,30.9232573,2.292628253,12.31511617,0.472,-3.854428253,0.872898899
FP,AT,1C,Early,FPATEarly,1CAT,3,middle,99,218,1.39,G7,11.48239889,7.820269415,2.398,-1.3942,14,12.5,31.43466657,-0.173404395,18.75300606,1.008,-1.220795605,2.440815332
FP,AT,1C,Early,FPATEarly,1CAT,3,late,126,231,2.302,G7,9.811098149,5.78609529,2.482,-1.7759,8.8,8.4,29.35379163,1.991221873,14.36108851,0.18,-3.767121873,2.283514209
FP,AT,1C,Early,FPATEarly,1CAT,3,late,124,231,1.878,G7,6.498276282,4.821746075,2.621,-1.8991,9.7,8.7,31.27999468,2.648836651,12.63779646,0.743,-4.547936651,1.871536954
FP,AT,1C,Early,FPATEarly,1CAT,3,late,128,231,1.307,G7,3.249510599,3.932736642,2.897,-1.2215,8.5,8,30.26235141,2.347429484,11.39313805,1.59,-3.568929484,1.1785044
FP,AT,1C,Early,FPATEarly,1CAT,3,early,52,183,NA,G7,NA,8.456137179,3.155,-0.503,7.1,6.3,33.15193952,-1.324204384,26.6791128,NA,0.821204384,NA
FP,AT,1C,Early,FPATEarly,1CAT,3,middle,100,218,1.696,G7,10.03487597,7.443570503,3.279,-0.8883,13.8,12.7,31.77609649,-1.13240506,24.40746768,1.583,0.24410506,2.306066622
FP,AC,4A,Late,FPACLate,4AAC,1,early,7,171,2.46,G9,41.97513189,NA,NA,NA,7.8,6.7,24.61076209,-0.995405377,NA,NA,NA,3.737077345
FP,AC,4A,Late,FPACLate,4AAC,1,late,211,239,2.421,G8,5.690288095,3.540969774,1.992,-1.7316,8.8,7,28.26919966,3.005045979,7.05361179,-0.429,-4.736645979,1.738760879
FP,AC,4A,Late,FPACLate,4AAC,1,early,8,171,2.604,G9,44.93174219,4.43901998,2.068,-1.1297,8.5,6.8,33.59149472,0.37459901,9.179893319,-0.536,-1.50429901,3.805144498
FP,AC,4A,Late,FPACLate,4AAC,1,early,4,171,2.789,G8,44.84204793,4.467649097,2.07,-1.211,7.7,6.1,37.47197779,0.922604615,9.248033631,-0.719,-2.133604615,3.803146269
FP,AC,4A,Late,FPACLate,4AAC,1,late,217,239,2.128,G8,5.710185473,2.787571949,2.079,-1.5294,11.4,7,36.47401436,1.004805645,5.795362082,-0.049,-2.534205645,1.742251505
FP,AC,4A,Late,FPACLate,4AAC,1,late,218,239,2.062,G9,10.86975103,3.947804599,2.174,-1.2949,10.7,8.2,38.36191212,1.224008636,8.582527198,0.112,-2.518908636,2.385983797
FP,AC,4A,Late,FPACLate,4AAC,1,early,6,171,1.368,G2,25.44937325,4.521642608,2.362,-1.4377,10.7,6.5,19.8204592,-0.009003604,10.68011984,0.994,-1.428696396,3.236691116
FP,AC,4A,Late,FPACLate,4AAC,1,middle,176,222,2.054,G9,5.156113539,4.520386945,2.412,-1.4462,12.8,9.3,30.51081326,3.279053787,10.90317331,0.358,-4.725253787,1.640183106
FP,AC,4A,Late,FPACLate,4AAC,1,middle,171,222,2.179,G8,2.122907689,3.85739686,2.414,-1.4116,10.7,9.1,17.28539251,NA,9.31175602,0.235,NA,0.7527867
FP,AC,4A,Late,FPACLate,4AAC,1,early,1,171,1.574,G4,22.17447288,5.486242956,2.426,-1.3959,5.3,4.1,21.35472679,1.552813781,13.30962541,0.852,-2.948713781,3.098941757
FP,AC,4A,Late,FPACLate,4AAC,1,middle,180,222,2.509,G9,15.90250832,3.947804599,2.459,-1.3666,7.7,5.8,19.36326256,NA,9.707651509,-0.05,NA,2.766476853
FP,AC,4A,Late,FPACLate,4AAC,1,late,215,239,2.143,G9,4.322326212,3.209474731,2.524,-1.7862,10,8.1,54.61059371,2.703638026,8.100714221,0.381,-4.489838026,1.463793732
FP,AC,4A,Late,FPACLate,4AAC,1,middle,174,222,2.44,G8,14.655151,3.239610644,2.589,-1.4582,11,7.7,26.46420679,5.662944923,8.387351957,0.149,-7.121144923,2.684791878
FP,AC,4A,Late,FPACLate,4AAC,1,early,2,171,2.239,G8,46.93579193,5.213512943,2.61,-1.5305,6.7,3.4,18.92924545,0.401999238,13.60726878,0.371,-1.932499238,3.848780539
FP,AC,4A,Late,FPACLate,4AAC,1,early,3,171,2.291,G9,77.95824388,5.044751831,2.622,-1.4224,11.1,5.2,19.34176255,0.018396547,13.2273393,0.331,-1.440796547,4.356173348
FP,AT,4A,Late,FPATLate,4AAT,1,late,148,239,1.838,G1,2.638362068,4.535454902,2.146,-1.388,13.2,9.8,26.79395474,0.785603007,9.73308622,0.308,-2.173603007,0.970158296
FP,AT,4A,Late,FPATLate,4AAT,1,late,141,239,1.486,G1,2.774137015,5.18337703,2.178,-1.9103,12,9.5,31.4951236,0.264998153,11.28939517,0.692,-2.175298153,1.020339713
FP,AT,4A,Late,FPATLate,4AAT,1,late,145,239,2.152,G4,15.95433146,6.087454419,2.224,-1.2413,10.8,8,35.25581988,-0.091204024,13.53849863,0.072,-1.150095976,2.769730357
FP,AT,4A,Late,FPATLate,4AAT,1,late,147,239,1.749,G7,4.233049107,6.268269897,2.281,-0.5832,12.4,10.1,39.17172922,0.785603007,14.29792364,0.532,-1.368803007,1.442922562
FP,AT,4A,Late,FPATLate,4AAT,1,early,18,171,1.758,G2,40.17386559,4.445047163,2.293,-1.6652,6.7,4.5,20.73486548,NA,10.19249314,0.535,NA,3.693216675
FP,AT,4A,Late,FPATLate,4AAT,1,early,11,171,1.606,G4,59.95218392,5.39131483,2.332,-1.5505,5.7,3.7,16.56461395,-1.379004141,12.57254618,0.726,-0.171495859,4.09354731
FP,AT,4A,Late,FPATLate,4AAT,1,early,16,171,1.674,G4,23.95019932,3.977940512,2.461,-1.736,6.5,3.7,14.91093488,0.62120126,9.7897116,0.787,-2.35720126,3.175976646
FP,AT,4A,Late,FPATLate,4AAT,1,early,20,171,1.954,G2,36.72241389,4.143688033,2.47,-1.0381,6.7,3.5,29.56023444,0.53900046,10.23490944,0.516,-1.57710046,3.603387301
FP,AT,4A,Late,FPATLate,4AAT,1,middle,114,222,1.431,G2,2.299966765,4.15875599,2.483,-0.7034,7.5,5.7,26.72688527,-0.420005209,10.32619112,1.052,-0.283394791,0.832894673
FP,AT,4A,Late,FPATLate,4AAT,1,middle,115,222,1.517,G1,3.14688535,5.846367116,2.489,-0.8867,7.5,5.5,26.95249699,NA,14.55160775,0.972,NA,1.146413186
FP,AT,4A,Late,FPATLate,4AAT,1,late,143,239,1.841,G4,4.037847294,4.399843293,2.57,-1.1191,11.6,8.4,23.19903181,-0.009003604,11.30759726,0.729,-1.110096396,1.395711702
FP,AT,4A,Late,FPATLate,4AAT,1,middle,111,222,1.424,G4,3.24931653,5.092969292,2.626,-0.2312,6.4,4.8,23.52686291,2.265227645,13.37413736,1.202,-2.496427645,1.178444676
FP,AT,4A,Late,FPATLate,4AAT,1,middle,113,222,1.465,G7,2.853697613,2.787571949,2.634,-1.0066,7.5,5.8,23.50109409,2.676237336,7.342464514,1.169,-3.682837336,1.048615561
FP,AT,4A,Late,FPATLate,4AAT,1,late,146,239,1.815,G1,3.693834805,5.52994003,2.661,-1.0879,10.8,7.8,47.39925385,-0.940605466,14.71517042,0.846,-0.147294534,1.306665161
FP,AT,4A,Late,FPATLate,4AAT,1,middle,117,222,1.377,G7,1.772549157,3.842328903,2.681,-1.0628,6.3,4.5,30.76789556,-0.529605428,10.30128379,1.304,-0.533194572,0.572418712
FP,AT,4A,Late,FPATLate,4AAT,1,early,15,171,1.828,G4,52.36763442,3.507820269,2.724,-1.5898,5.1,3.7,26.04498826,0.37459901,9.555302413,0.896,-1.96439901,3.958288737
FP,AT,4A,Late,FPATLate,4AAT,1,middle,112,222,1.744,G4,0.850684364,4.173823946,2.748,-0.6275,9.8,9.5,12.58517211,NA,11.4696682,1.004,NA,-0.161714119
FP,AT,4A,Late,FPATLate,4AAT,1,late,142,239,2.412,G4,7.03105396,4.339571467,2.783,-0.3289,12.8,9.8,54.43240522,-1.105005134,12.07702739,0.371,0.776105134,1.950336618
FP,AT,4A,Late,FPATLate,4AAT,1,middle,118,222,1.647,G1,6.343179846,4.188891902,2.783,-0.9656,6,4.8,37.12213618,2.292628253,11.65768616,1.136,-3.258228253,1.847380196
FP,AT,4A,Late,FPATLate,4AAT,1,late,150,239,1.843,G1,8.187824968,4.535454902,2.8,-0.9356,13.2,10.8,34.07768342,-1.324204384,12.69927373,0.957,0.388604384,2.102648291
FP,AT,4A,Late,FPATLate,4AAT,1,early,17,171,1.937,G1,40.61678356,3.238103848,2.849,-1.4901,9.5,7.5,21.87445245,0.867803955,9.225357863,0.912,-2.357903955,3.704181369
FP,AT,4A,Late,FPATLate,4AAT,1,middle,119,222,2.08,G2,11.29382938,3.782057077,3.171,-0.7797,10.3,8.1,18.77417261,3.196851387,11.99290299,1.091,-3.976551387,2.424256504
FP,AT,4A,Late,FPATLate,4AAT,1,middle,116,222,1.616,G1,1.715166567,3.947804599,3.237,-0.8725,7,5.7,26.5093861,2.758439422,12.77904349,1.621,-3.630939422,0.5395102
FP,AC,4B,Late,FPACLate,4BAC,2,late,248,242,1.953,G9,6.229129109,4.9975389,1.723,-1.3897,10.5,7.3,38.47348734,1.991221873,8.610759525,-0.23,-3.380921873,1.829236533
FP,AC,4B,Late,FPACLate,4BAC,2,late,246,242,1.736,G9,3.465860724,6.268269897,1.743,-1.2968,9.1,7.9,41.94617445,1.744617148,10.92559443,0.007,-3.041417148,1.242961007
FP,AC,4B,Late,FPACLate,4BAC,2,early,39,175,1.697,G9,32.31223232,7.125887754,1.763,-1.3428,12.5,9.7,45.79811426,-1.516003439,12.56294011,0.066,0.173203439,3.475445868
FP,AC,4B,Late,FPACLate,4BAC,2,late,241,242,1.522,G4,1.720229237,5.318988639,1.821,-1.1668,11.7,10.5,24.16537061,-0.529605428,9.685878312,0.299,-0.637194572,0.542457559
FP,AC,4B,Late,FPACLate,4BAC,2,late,249,242,1.826,G9,2.302125909,3.797125034,1.838,-1.5949,10.1,5.2,40.21935946,3.744868322,6.979115812,0.012,-5.339768322,0.833833004
FP,AC,4B,Late,FPACLate,4BAC,2,early,34,175,2.384,G9,117.5994547,5.983234387,2.042,-1.3767,14.3,9.7,36.24692547,4.703903254,12.21776462,-0.342,-6.080603254,4.767284399
FP,AC,4B,Late,FPACLate,4BAC,2,late,243,242,2.342,G9,8.114030016,5.198444987,2.144,-1.5296,11.1,10.1,58.46461879,3.224252181,11.14546605,-0.198,-4.753852181,2.093594664
FP,AC,4B,Late,FPACLate,4BAC,2,early,40,175,1.979,G8,47.8648556,4.908386825,2.163,-1.5166,12.7,9.7,34.42926878,0.155397384,10.6168407,0.184,-1.671997384,3.868381532
FP,AC,4B,Late,FPACLate,4BAC,2,middle,93,204,1.766,G9,43.56443685,5.198444987,2.176,-2.2862,13.8,13.7,40.54410089,0.566400721,11.31181629,0.41,-2.852600721,3.774241149
FP,AC,4B,Late,FPACLate,4BAC,2,early,35,175,2.526,G9,47.69612235,5.878009824,2.196,-1.121,14.2,10.1,45.80591928,2.292628253,12.90810957,-0.33,-3.413628253,3.864850102
FP,AC,4B,Late,FPACLate,4BAC,2,middle,94,204,1.442,G9,26.61383338,4.344594119,2.257,-1.4122,11.5,8.7,34.59348654,-0.502205382,9.805748927,0.815,-0.909994618,3.281431132
FP,AC,4B,Late,FPACLate,4BAC,2,middle,100,204,1.499,G4,59.11595603,4.68362314,2.261,-1.5089,15.7,11.1,32.8980745,NA,10.58967192,0.762,NA,4.079500872
FP,AC,4B,Late,FPACLate,4BAC,2,early,37,175,2.339,G9,110.2240805,7.380285086,2.328,-1.3593,12.2,4.4,46.45618705,1.635015191,17.18130368,-0.011,-2.994315191,4.702515389
FP,AC,4B,Late,FPACLate,4BAC,2,middle,95,204,1.574,G9,114.1859637,4.520386945,2.364,-1.4369,13.1,8.8,35.07351845,NA,10.68619474,0.79,NA,4.73782838
FP,AT,4B,Late,FPATLate,4BAT,2,late,170,242,1.785,G2,4.623556852,5.18337703,1.905,-0.8952,9.1,6.4,49.9378534,-0.337804987,9.874333242,0.12,-0.557395013,1.53116429
FP,AT,4B,Late,FPATLate,4BAT,2,late,167,242,1.931,G1,6.66257543,5.359887378,1.94,-1.2358,8,5.2,46.90701029,0.127997206,10.39818151,0.009,-1.363797206,1.896506111
FP,AT,4B,Late,FPATLate,4BAT,2,late,166,242,1.662,G1,3.225372806,6.102522376,2.006,-1.3607,8.5,5.9,42.4199596,1.004805645,12.24165989,0.344,-2.365505645,1.171048542
FP,AT,4B,Late,FPATLate,4BAT,2,middle,74,204,NA,G2,NA,6.140192267,2.273,-1.6984,15.7,10.3,28.97541784,1.388411109,13.95665702,NA,-3.086811109,NA
FP,AT,4B,Late,FPATLate,4BAT,2,early,26,175,0.9864,G1,22.5354323,4.41491125,2.378,-0.7754,12.5,7.5,43.70061423,0.840403634,10.49865895,1.3916,-1.615803634,3.115088839
FP,AT,4B,Late,FPATLate,4BAT,2,early,24,175,1.559,G4,59.02978154,5.070367357,2.401,-1.3174,11.8,8.5,53.91443464,0.895204282,12.17395202,0.842,-2.212604282,4.078042088
FP,AT,4B,Late,FPATLate,4BAT,2,middle,77,204,NA,G2,NA,4.912153814,2.408,-1.541,14.3,10.5,33.37262099,0.785603007,11.82846638,NA,-2.326603007,NA
FP,AT,4B,Late,FPATLate,4BAT,2,early,29,175,2.141,G1,40.57722684,3.968899738,2.416,-1.4554,11.5,7.8,43.75798405,0.210197758,9.588861767,0.275,-1.665597758,3.703206994
FP,AT,4B,Late,FPATLate,4BAT,2,middle,79,204,NA,G1,NA,8.186923023,2.458,-1.3419,13.1,9.5,41.77891077,0.37459901,20.12345679,NA,-1.71649901,NA
FP,AT,4B,Late,FPATLate,4BAT,2,early,28,175,1.676,G2,31.84485822,6.21553205,2.473,-0.6273,12.5,8.4,34.14878492,0.703402109,15.37101076,0.797,-1.330702109,3.460875932
FP,AT,4B,Late,FPATLate,4BAT,2,middle,78,204,NA,G1,NA,7.850405328,2.476,-1.2061,10.2,6.7,38.35632247,-0.091204024,19.43760359,NA,-1.114895976,NA
FP,AT,4B,Late,FPATLate,4BAT,2,early,30,175,1.571,G1,33.35352151,5.618840973,2.686,-1.5699,11.7,6.8,44.19106615,0.429399471,15.09220685,1.115,-1.999299471,3.507163359
FP,AC,4C,Late,FPACLate,4CAC,3,early,83,180,2.114,G9,27.1167078,5.697194347,1.904,-1.2394,11.4,9.1,7.516664903,5.55333982,10.84745804,-0.21,-6.79273982,3.300150062
FP,AC,4C,Late,FPACLate,4CAC,3,early,85,180,1.709,G9,29.13753904,4.011090016,2.031,-1.1139,10.1,8.8,11.18370939,3.470859579,8.146523822,0.322,-4.584759579,3.372027344
FP,AC,4C,Late,FPACLate,4CAC,3,early,90,180,1.303,G8,8.158642276,4.434499593,2.054,-1.2151,13.3,8.5,36.89812084,-1.379004141,9.108462164,0.751,0.163904141,2.099077767
FP,AC,4C,Late,FPACLate,4CAC,3,early,81,180,2.698,G8,48.96220953,5.2285809,2.079,-0.8651,11.7,8.7,16.94285363,NA,10.87021969,-0.619,NA,3.891048766
FP,AC,4C,Late,FPACLate,4CAC,3,early,86,180,2.098,G9,63.79239844,5.42597113,2.251,-1.411,15.7,12.2,24.99323776,5.690346213,12.21386101,0.153,-7.101346213,4.155634037
FP,AC,4C,Late,FPACLate,4CAC,3,late,185,234,2.17,G9,5.224226373,3.631377513,2.338,-1.4708,8.5,7.1,39.24554969,2.594035299,8.490160625,0.168,-4.064835299,1.653306724
FP,AC,4C,Late,FPACLate,4CAC,3,late,187,234,2.374,G9,9.319933119,3.782057077,2.4,-1.5912,7.5,6.2,51.52435702,3.498260429,9.076936985,0.026,-5.089460429,2.232155453
FP,AC,4C,Late,FPACLate,4CAC,3,middle,130,208,2.361,G8,58.6891349,5.771027333,2.603,-0.8199,8.2,7.3,36.93557595,NA,15.02198415,0.242,NA,4.072254614
FP,AC,4C,Late,FPACLate,4CAC,3,middle,128,208,1.874,G9,34.58323325,4.399843293,2.617,-1.019,9.3,7.5,22.29909919,4.046278575,11.5143899,0.743,-5.065278575,3.543368976
FP,AC,4C,Late,FPACLate,4CAC,3,middle,124,208,2.789,G9,52.99489948,5.2285809,2.698,-1.3222,11.5,11.2,12.76500623,3.087248263,14.10671127,-0.091,-4.409448263,3.970195673
FP,AC,4C,Late,FPACLate,4CAC,3,middle,129,208,1.931,G9,37.98321101,4.628015206,2.866,-1.0314,11.1,9.3,23.59227518,1.854219193,13.26389158,0.935,-2.885619193,3.637144247
FP,AC,4C,Late,FPACLate,4CAC,3,middle,125,208,2.187,G9,55.48905018,4.791610162,2.884,-0.9766,9.7,8.7,27.4597067,NA,13.81900371,0.697,NA,4.016185707
FP,AC,4C,Late,FPACLate,4CAC,3,middle,121,208,2.129,G9,42.66526395,5.469668204,3.06,-1.3417,11.7,9.7,27.31118749,NA,16.7371847,0.931,NA,3.753385099
FP,AT,4C,Late,FPATLate,4CAT,3,early,44,180,NA,G1,NA,5.266250791,2.046,-1.8371,12.3,9.4,16.79003529,0.758202702,10.77474912,NA,-2.595302702,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,42,180,NA,G1,NA,4.823001738,2.069,-1.3011,12.5,7.8,34.69671364,-0.009003604,9.978790596,NA,-1.292096396,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,50,180,NA,G4,NA,4.672573306,2.083,-1.1912,12.2,7.4,44.60095692,-0.831005577,9.732970196,NA,-0.360194423,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,47,180,NA,G4,NA,5.153241117,2.098,-1.21,12.7,5.2,52.75255801,-0.118604153,10.81149986,NA,-1.091395847,NA
FP,AT,4C,Late,FPATLate,4CAT,3,late,136,234,1.786,G1,5.198072283,4.806678118,2.218,-1.5664,7.8,4.2,41.84374276,3.196851387,10.66121207,0.432,-4.763251387,1.648287842
FP,AT,4C,Late,FPATLate,4CAT,3,early,41,180,NA,G7,NA,5.605279812,2.277,-0.9866,13.1,9.1,32.0253577,1.552813781,12.76322213,NA,-2.539413781,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,45,180,NA,G1,NA,4.514359763,2.286,-1.0598,12.5,7.8,25.15040223,-0.009003604,10.31982642,NA,-1.050796396,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,43,180,NA,G1,NA,5.557564616,2.311,-1.141,13.2,8.5,21.26829942,-0.639205559,12.84353183,NA,-0.501794441,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,46,180,NA,G1,NA,6.479221288,2.32,-0.8412,11.2,9.5,28.64399624,-0.009003604,15.03179339,NA,-0.832196396,NA
FP,AT,4C,Late,FPATLate,4CAT,3,early,49,180,NA,G4,NA,3.640418286,2.369,-1.026,13.7,10.6,37.7832322,1.744617148,8.62415092,NA,-2.770617148,NA
