sid,grade,sessionID
S31308,A-,session3378
S31308,C+,session3449
S31311,A-,session2144
S31311,B+,session2213
S31311,B,session2329
S31311,B+,session2413
S31311,B,session2431
S31311,A,session2677
S31311,A,session2812
S31311,B+,session2867
S31311,A-,session2933
S31311,A-,session3466
S31311,A-,session3685
S31314,B,session1988
S31314,C,session2018
S31314,A-,session2088
S31314,B,session2206
S31314,A-,session2374
S31314,B+,session2787
S31314,B+,session2789
S31314,B+,session3256
S31314,B,session3542
S31314,B+,session3543
S31317,A-,session1902
S31317,B,session1935
S31317,B,session1978
S31317,C+,session2157
S31317,A-,session2473
S31317,D,session2485
S31317,B,session2563
S31317,S,session2922
S31317,S,session2923
S31317,C-,session2972
S31317,C+,session3070
S31317,S,session3210
S31317,C,session3290
S31317,B,session3311
S31320,A-,session1845
S31320,C,session1905
S31320,A-,session1973
S31320,B-,session1976
S31320,A,session2004
S31320,A,session2019
S31320,B,session2025
S31320,B+,session2354
S31320,B+,session2446
S31320,A,session2480
S31320,A,session2699
S31320,C,session2700
S31320,AU,session3210
S31320,A-,session3500
S31323,B,session1965
S31323,A-,session1998
S31323,A-,session2058
S31323,A,session2111
S31323,B+,session2440
S31323,B+,session2458
S31323,B+,session2607
S31323,A-,session2746
S31323,A-,session2905
S31323,A-,session3373
S31323,A-,session3443
S31323,B,session3596
S31323,A-,session3746
S31323,A-,session3792
S31326,A-,session1977
S31326,B,session2002
S31326,B+,session2013
S31326,B+,session2015
S31326,B,session2061
S31326,B,session2117
S31326,A-,session2441
S31326,B,session2485
S31326,A-,session2610
S31326,B,session2611
S31326,B,session2623
S31326,B+,session2704
S31326,A-,session2880
S31326,B,session3110
S31326,B,session3503
S31326,S,session3615
S31326,A-,session3643
S31329,B,session1958
S31329,B+,session1961
S31329,A-,session1994
S31329,B,session2022
S31329,C+,session2236
S31329,B-,session2426
S31329,B,session2436
S31329,S,session2912
S31329,C+,session2941
S31329,B,session3310
S31329,B+,session3459
S31329,B,session3623
S31332,A-,session2006
S31332,B,session2021
S31332,B+,session2236
S31332,A,session2270
S31332,A-,session2508
S31332,A,session2563
S31332,C,session2654
S31332,A-,session2764
S31332,B-,session3139
S31332,A,session3304
S31332,A-,session3520
S31335,B+,session2107
S31335,C,session2126
S31335,A,session2215
S31335,D,session2413
S31335,B+,session2580
S31335,B+,session2769
S31335,B,session2820
S31335,A-,session2927
S31335,A-,session3293
S31335,B+,session3298
S31335,A-,session3339
S31335,A-,session3340
S31335,A-,session3711
S31335,A,session3816
S31335,A-,session3817
S31338,B+,session1851
S31338,C-,session1858
S31338,B+,session1944
S31338,B+,session2458
S31338,B-,session2728
S31338,B,session2861
S31338,B+,session3007
S31338,B+,session3372
S31338,C+,session3442
S31338,B+,session3730
S31338,A-,session3813
S31341,A,session1992
S31341,B,session2216
S31341,B-,session2390
S31341,A-,session2450
S31341,B,session2464
S31341,B+,session2588
S31341,B,session2678
S31341,A-,session2784
S31341,B-,session2925
S31341,A,session3000
S31341,B,session3062
S31341,A,session3440
S31341,B+,session3593
S31341,B,session3819
S31344,B,session2087
S31344,B+,session2140
S31344,B+,session2195
S31344,B,session2225
S31344,A-,session2379
S31344,S,session2465
S31344,A-,session2476
S31344,B-,session2757
S31344,A-,session2807
S31344,A-,session3051
S31344,B-,session3453
S31344,B,session3531
S31344,B+,session3593
S31344,B,session3807
S31347,B+,session1859
S31347,A,session1865
S31347,C+,session1877
S31347,B-,session1942
S31347,B+,session2102
S31347,B,session2243
S31347,B,session2337
S31347,B+,session2391
S31347,B,session2726
S31347,B-,session2820
S31347,D,session2858
S31347,B,session3171
S31347,B,session3309
S31347,A-,session3422
S31347,A-,session3800
S31350,C+,session1879
S31350,B-,session1940
S31350,B-,session2019
S31350,C+,session2026
S31350,B,session2051
S31350,S,session2114
S31350,C+,session2239
S31350,C,session2445
S31350,C+,session2461
S31350,B,session2526
S31350,A-,session2756
S31350,B,session3141
S31350,S,session3172
S31350,B,session3300
S31350,S,session3322
S31350,A-,session3386
S31353,B+,session1985
S31353,B,session2063
S31353,B-,session2194
S31353,A,session2843
S31353,A,session2995
S31353,B+,session3051
S31353,A,session3081
S31353,A,session3085
S31353,S,session3395
S31353,S,session3431
S31353,A-,session3432
S31356,A,session1856
S31356,A,session1881
S31356,A-,session1902
S31356,A,session1930
S31356,A,session1938
S31356,A-,session1974
S31356,B+,session2224
S31356,B,session2432
S31356,A,session2515
S31356,A,session2693
S31356,A-,session2861
S31356,A,session2883
S31356,S,session2887
S31356,A,session3110
S31356,S,session3113
S31356,A-,session3243
S31356,S,session3716
S31359,A,session1970
S31359,A-,session2178
S31359,A,session2329
S31359,A,session2388
S31359,B+,session2479
S31359,B,session2628
S31359,B+,session2767
S31359,B+,session2973
S31359,S,session3021
S31359,A-,session3087
S31359,A,session3118
S31359,A,session3119
S31359,A,session3407
S31359,A,session3497
S31359,A,session3619
S31362,A-,session2015
S31362,A,session2254
S31362,A,session2286
S31362,B+,session2291
S31362,A,session2317
S31362,S,session2458
S31362,A-,session2668
S31362,A-,session2792
S31362,A-,session2941
S31362,A-,session3657
S31362,A,session3729
S31365,B+,session1968
S31365,A-,session2013
S31365,B,session2032
S31365,B,session2106
S31365,B,session2210
S31365,C+,session2245
S31365,A-,session2304
S31365,S,session2511
S31365,B,session2589
S31365,S,session2956
S31365,A-,session2965
S31365,B+,session3156
S31365,B,session3464
S31365,A,session3643
S31368,A,session2127
S31368,A-,session2159
S31368,A,session2172
S31368,A,session2428
S31368,B+,session2532
S31368,B+,session2766
S31368,A-,session2825
S31368,B+,session3144
S31368,B+,session3226
S31368,A,session3407
S31368,B+,session3409
S31368,A-,session3410
S31368,A,session3619
S31371,B,session1983
S31371,A-,session2129
S31371,B+,session2173
S31371,A,session2270
S31371,A,session2418
S31371,B+,session2433
S31371,C+,session2532
S31371,B-,session2628
S31371,A,session2693
S31371,A-,session2883
S31371,B+,session3401
S31371,S,session3403
S31371,A,session3610
S31371,S,session3615
S31374,B-,session2120
S31374,C+,session2143
S31374,C-,session2179
S31374,C,session2276
S31374,B,session2306
S31374,B,session2340
S31374,A-,session2576
S31374,B,session2780
S31374,A,session2832
S31374,S,session2838
S31374,B+,session3000
S31374,C+,session3155
S31374,B,session3449
S31374,S,session3467
S31374,A,session3557
S31377,A,session1960
S31377,A,session2091
S31377,A,session2270
S31377,A,session2362
S31377,A,session2418
S31377,A,session2520
S31377,A,session2603
S31377,A,session2604
S31377,B+,session2819
S31377,A,session2873
S31377,A-,session3000
S31377,A,session3096
S31377,A,session3517
S31377,A,session3553
S31377,B+,session3797
S31380,B+,session2105
S31380,B+,session2140
S31380,A,session2245
S31380,A,session2324
S31380,B-,session2345
S31380,B+,session2608
S31380,B+,session2679
S31380,S,session3105
S31380,A,session3303
S31380,A-,session3337
S31380,A,session3392
S31383,A,session1962
S31383,A-,session2007
S31383,A-,session2023
S31383,A-,session2039
S31383,B+,session2236
S31383,A,session2278
S31383,A-,session2344
S31383,A-,session2408
S31383,A-,session2451
S31383,A,session3235
S31383,S,session3495
S31383,A-,session3797
S31386,A-,session1957
S31386,B,session2201
S31386,B,session2205
S31386,A-,session2506
S31386,B+,session2562
S31386,B,session2733
S31386,A,session2853
S31386,B,session3459
S31386,B-,session3623
S31386,S,session3630
S31386,B,session3797
S31389,C+,session2001
S31389,A-,session2170
S31389,B+,session2319
S31389,B+,session2432
S31389,S,session2465
S31389,B+,session2611
S31389,A,session2624
S31389,B-,session2628
S31389,B+,session2883
S31389,S,session2887
S31389,B+,session3320
S31389,AU,session3331
S31389,B+,session3383
S31389,B+,session3726
S31392,B+,session2174
S31392,B+,session2431
S31392,B-,session2532
S31392,A,session2805
S31392,B,session2886
S31392,B+,session2966
S31392,S,session3014
S31392,A-,session3090
S31392,A-,session3378
S31392,A,session3402
S31392,A-,session3539
S31392,A-,session3614
S31392,B+,session3711
S31392,S,session3765
S31395,A,session2114
S31395,B-,session2163
S31395,A,session2204
S31395,A,session2247
S31395,A,session2429
S31395,A-,session2431
S31395,A-,session2535
S31395,A,session2646
S31395,AU,session2739
S31395,A,session3026
S31395,A,session3291
S31395,S,session3549
S31395,A,session3730
S31398,B,session2005
S31398,B,session2090
S31398,A-,session2106
S31398,B,session2149
S31398,B,session2315
S31398,B+,session2374
S31398,A-,session2673
S31398,B,session2821
S31398,B+,session3298
S31398,A-,session3317
S31398,B-,session3481
S31398,B+,session3711
S31401,A-,session1970
S31401,B+,session1986
S31401,C+,session2173
S31401,A,session2210
S31401,C,session2236
S31401,B,session2436
S31401,B,session2447
S31401,A-,session2713
S31401,C-,session2738
S31401,B,session2868
S31401,C+,session3033
S31401,A-,session3596
S31401,B,session3671
S31401,B+,session3783
S31404,C+,session2018
S31404,B+,session2033
S31404,B+,session2091
S31404,B,session2132
S31404,C+,session2404
S31404,B,session2532
S31404,A-,session2698
S31404,B,session3400
S31404,B,session3400
S31404,A,session3402
S31404,A-,session3589
S31404,A-,session3610
S31404,S,session3615
S31404,B,session3647
S31404,B-,session3666
S31407,B,session2140
S31407,B+,session2158
S31407,B,session2230
S31407,B+,session2288
S31407,A-,session2304
S31407,A,session2402
S31407,C+,session2441
S31407,A-,session2588
S31407,A,session2738
S31407,B+,session2776
S31407,A-,session2921
S31407,A,session3156
S31407,S,session3271
S31407,A-,session3450
S31407,A-,session3742
S31407,S,session3830
S31410,B-,session1998
S31410,B-,session2068
S31410,B,session2206
S31410,B+,session2210
S31410,A-,session2269
S31410,B+,session2394
S31410,A-,session2764
S31410,B+,session2788
S31410,A,session2905
S31410,A-,session3448
S31410,B+,session3671
S31413,A-,session1957
S31413,A,session1988
S31413,A-,session2193
S31413,S,session2375
S31413,A-,session2475
S31413,A,session2618
S31413,B+,session2758
S31413,S,session2811
S31413,A,session2866
S31413,A-,session2869
S31413,A,session3769
S31416,C+,session2057
S31416,S,session2268
S31416,A-,session2355
S31416,C+,session2443
S31416,B+,session2447
S31416,B,session2481
S31416,B,session2690
S31416,A-,session3274
S31416,A-,session3342
S31416,C+,session3496
S31416,C,session3572
S31416,A,session3586
S31416,B+,session3754
S31419,B+,session2060
S31419,B+,session2100
S31419,B,session2233
S31419,A-,session2491
S31419,B,session2548
S31419,S,session2686
S31419,C+,session2694
S31419,B+,session3077
S31419,A-,session3381
S31419,C+,session3421
S31419,B,session3483
S31419,NC,session3742
S31419,S,session3743
S31422,S,session1989
S31422,A,session2007
S31422,A,session2201
S31422,A-,session2306
S31422,A,session2311
S31422,A,session2503
S31422,A-,session2593
S31422,A,session2668
S31422,A-,session2849
S31422,A,session2945
S31422,A,session2985
S31422,A-,session3599
S31422,A-,session3735
S31422,S,session3786
S31422,A,session3797
S31425,A-,session2081
S31425,A-,session2100
S31425,A,session2159
S31425,A-,session2163
S31425,A,session2191
S31425,A-,session2504
S31425,A,session2670
S31425,B+,session2897
S31425,B+,session3192
S31425,A-,session3350
S31425,A,session3696
S31425,A-,session3697
S31425,B,session3700
S31425,B,session3772
S31428,A-,session1951
S31428,B,session1964
S31428,A,session2362
S31428,A-,session2548
S31428,A,session2757
S31428,B+,session2784
S31428,A,session2844
S31428,A,session2995
S31428,A,session3047
S31428,S,session3299
S31428,S,session3431
S31428,A,session3526
S31428,A-,session3586
S31428,S,session3587
S31428,A,session3607
S31431,B,session2132
S31431,B,session2147
S31431,A-,session2206
S31431,A-,session2223
S31431,B+,session2339
S31431,B+,session2390
S31431,A,session2662
S31431,S,session2905
S31431,B+,session2938
S31431,A-,session2939
S31431,A-,session3236
S31431,A-,session3464
S31431,A-,session3696
S31434,A-,session2022
S31434,A,session2126
S31434,A-,session2217
S31434,A-,session2341
S31434,A-,session2390
S31434,A,session2391
S31434,A-,session2447
S31434,A-,session2788
S31434,B+,session2849
S31434,A,session2935
S31434,A-,session2952
S31434,B+,session2985
S31434,B+,session3596
S31434,S,session3622
S31437,S,session1957
S31437,B+,session1963
S31437,A-,session2003
S31437,A,session2235
S31437,A,session2514
S31437,A,session2624
S31437,A,session2697
S31437,A,session2868
S31437,B+,session3054
S31437,A,session3230
S31437,A,session3355
S31437,A-,session3499
S31437,A,session3642
S31437,B,session3643
S31437,A,session3669
S31440,A,session2015
S31440,B+,session2039
S31440,B+,session2067
S31440,B+,session2067
S31440,A,session2173
S31440,A-,session2181
S31440,A,session2425
S31440,A,session2604
S31440,A,session2606
S31440,A,session2872
S31440,A,session2882
S31440,A-,session3093
S31440,A,session3116
S31440,A-,session3119
S31440,A,session3325
S31440,A,session3395
S31440,A-,session3400
S31440,A,session3464
S31443,B,session2891
S31443,C,session2892
S31443,C,session3217
S31443,B,session3218
S31443,B-,session3512
S31443,B-,session3604
S31446,B,session1918
S31446,A-,session1919
S31446,A,session2527
S31446,B+,session2545
S31446,B,session2692
S31446,A-,session2712
S31446,A,session3063
S31446,A,session3219
S31446,A-,session3598
S31446,AU,session3602
S31446,A,session3604
S31449,S,session1994
S31449,A-,session2206
S31449,B+,session2389
S31449,B+,session2402
S31449,B,session2444
S31449,B+,session2644
S31449,A-,session2934
S31449,S,session3035
S31449,B+,session3427
S31449,B,session3428
S31449,B+,session3464
S31449,B,session3583
S31452,B+,session2057
S31452,B,session2204
S31452,A,session2215
S31452,A-,session2269
S31452,A,session2458
S31452,A-,session2459
S31452,S,session2688
S31452,A-,session2727
S31452,B-,session2731
S31452,B,session3007
S31452,C+,session3010
S31452,A,session3073
S31452,B,session3285
S31452,A-,session3304
S31452,B,session3779
S31452,B,session3821
S31455,B+,session2180
S31455,B-,session2194
S31455,B+,session2368
S31455,A-,session2374
S31455,A,session2759
S31455,A,session2897
S31455,A,session2897
S31455,A,session3080
S31455,A,session3081
S31455,A,session3099
S31455,S,session3265
S31455,A,session3316
S31455,A,session3333
S31455,A,session3413
S31455,S,session3477
S31455,S,session3720
S31458,A,session2044
S31458,A,session2117
S31458,A,session2194
S31458,A,session2271
S31458,A,session2344
S31458,A,session2498
S31458,A,session2550
S31458,S,session2608
S31458,A,session2750
S31458,A,session3041
S31458,A,session3376
S31458,A-,session3530
S31458,A,session3546
S31458,A,session3744
S31461,A,session1848
S31461,A,session1871
S31461,A,session1904
S31461,A,session1937
S31461,A,session2043
S31461,A,session2394
S31461,S,session2491
S31461,A,session2838
S31461,A,session3087
S31461,A,session3263
S31461,B+,session3285
S31461,A,session3479
S31464,B,session2024
S31464,A-,session2111
S31464,B-,session2141
S31464,B-,session2263
S31464,S,session2411
S31464,B+,session2637
S31464,C,session2701
S31464,S,session2743
S31464,A-,session3287
S31464,A,session3392
S31464,A-,session3461
S31464,B,session3506
S31464,B+,session3791
S31467,A,session1890
S31467,B,session1905
S31467,B+,session1926
S31467,A-,session1972
S31467,A,session2020
S31467,A-,session2124
S31467,B+,session2241
S31467,S,session2335
S31467,A-,session2423
S31467,A-,session2472
S31467,S,session2511
S31467,A-,session2656
S31467,B-,session2696
S31467,A,session3127
S31467,B,session3276
S31467,B,session3426
S31467,D,session3495
S31470,C,session1966
S31470,A,session1977
S31470,B-,session2008
S31470,A-,session2013
S31470,B-,session2209
S31470,A-,session2328
S31470,B-,session2485
S31470,B+,session2516
S31470,B+,session2705
S31470,B+,session2909
S31470,B,session3055
S31470,B,session3658
S31470,A-,session3680
S31470,B,session3798
S31470,A,session3799
S31473,B+,session1967
S31473,B,session1975
S31473,B,session2348
S31473,A-,session2497
S31473,A,session2549
S31473,A-,session2685
S31473,B+,session2863
S31473,S,session3587
S31473,A,session3724
S31473,B+,session3753
S31476,A,session2000
S31476,A,session2015
S31476,A-,session2067
S31476,A,session2131
S31476,A,session2148
S31476,A,session2174
S31476,A,session2179
S31476,A,session2434
S31476,A-,session2475
S31476,A-,session2767
S31476,A,session2824
S31476,A,session3099
S31476,A,session3111
S31476,A,session3383
S31476,A,session3399
S31476,A,session3588
S31476,S,session3717
S31479,A,session2199
S31479,A,session2339
S31479,B+,session2443
S31479,A-,session2561
S31479,AU,session2638
S31479,B-,session2653
S31479,A,session2722
S31479,S,session2764
S31479,B+,session2786
S31479,B+,session3139
S31479,B,session3313
S31479,A-,session3332
S31482,A-,session1994
S31482,B,session2006
S31482,A,session2077
S31482,B+,session2082
S31482,B+,session2170
S31482,B-,session2206
S31482,B,session2431
S31482,A-,session2662
S31482,A,session2665
S31482,B+,session2939
S31482,A-,session3386
S31485,A-,session2151
S31485,A,session2222
S31485,A,session2308
S31485,B,session2399
S31485,A,session2592
S31485,S,session2686
S31485,S,session2687
S31485,A,session2770
S31485,A-,session2780
S31485,A,session2799
S31485,B,session2838
S31485,A-,session3289
S31488,B+,session1966
S31488,B+,session2006
S31488,A,session2082
S31488,B-,session2236
S31488,B,session2240
S31488,A,session2437
S31488,A,session2526
S31488,A,session2570
S31488,S,session3498
S31488,B+,session3518
S31488,B+,session3583
S31488,B+,session3797
S31491,A,session1971
S31491,A,session2045
S31491,A,session2232
S31491,A,session2275
S31491,A,session2554
S31491,A,session2759
S31491,A,session2782
S31491,A,session2992
S31491,A,session3080
S31491,A,session3099
S31491,A,session3334
S31491,A,session3347
S31494,B+,session1974
S31494,B+,session2192
S31494,B+,session2210
S31494,B-,session2475
S31494,B+,session2529
S31494,B,session2626
S31494,A,session2883
S31494,B+,session2890
S31494,B,session2920
S31494,A-,session3107
S31494,A-,session3398
S31494,B+,session3400
S31494,B+,session3400
S31494,S,session3403
S31494,A-,session3647
S31494,B+,session3700
S31497,A,session2029
