time,ticket,race,sex,speed,limit,state,modelyear
914,T,W,M,77,65,FL,95
923,T,W,F,75,65,NY,94
956,T,W,M,79,65,MD,97
2342,T,W,M,76,65,NY,97
1347,T,W,F,77,65,VA,96
1354,T,B,F,78,65,NJ,96
1400,T,W,F,82,65,MD,89
1403,T,W,M,77,65,FL,97
105,T,W,M,NA,NA,MD,90
616,T,W,M,NA,NA,MD,92
12,T,W,M,NA,NA,MD,87
7,T,W,F,NA,NA,MD,92
2328,T,W,M,80,65,NY,97
2335,T,B,M,86,65,PA,97
715,T,B,M,NA,NA,MD,96
1520,T,W,M,74,65,MD,89
1205,T,B,F,83,65,MD,96
1230,T,B,M,NA,NA,FL,97
1910,T,W,M,74,65,PA,97
1920,T,W,M,82,65,NJ,82
1943,T,W,M,74,65,PA,97
1258,T,W,M,80,65,VA,97
1324,T,B,M,84,65,MD,96
1346,T,W,F,89,65,TN,97
1348,T,W,M,89,65,TN,96
1414,T,B,M,85,65,MD,87
1437,T,W,M,77,65,MD,95
1712,W,W,M,76,65,NY,96
1730,W,W,M,75,65,MD,94
2200,W,B,M,79,65,MD,91
2232,W,B,M,NA,NA,NJ,97
1822,T,W,M,NA,NA,MD,88
1555,T,W,F,77,55,PA,96
1030,T,W,M,79,65,NY,91
803,W,W,M,81,65,MD,88
880,W,W,M,78,65,NJ,92
1320,T,W,M,NA,NA,WV,87
1630,T,W,M,80,65,NY,93
1650,T,W,M,79,65,MD,96
1700,T,W,M,82,65,DC,96
1710,T,W,M,79,65,NJ,93
1725,T,B,F,80,65,MD,97
1900,T,W,M,NA,NA,MD,95
1925,T,W,F,NA,NA,PA,93
2215,W,W,F,70,65,MD,97
121,T,B,M,79,65,LA,85
2223,T,B,F,80,65,MD,97
2306,T,W,M,NA,NA,DE,79
2318,T,W,M,48,30,MD,87
257,T,B,M,83,65,NY,97
315,T,B,M,78,65,MD,93
120,T,B,M,NA,NA,GA,91
2330,T,W,M,77,65,NY,94
205,T,B,M,80,65,NY,87
215,T,B,M,98,65,NY,93
225,T,W,M,80,65,FL,97
233,T,W,M,85,65,MD,92
245,T,W,F,79,65,MA,93
256,T,B,M,86,65,MD,92
305,T,W,M,86,65,NM,83
1210,T,W,M,85,65,NJ,91
130,T,W,M,NA,NA,MD,92
1347,W,W,M,74,65,FL,86
1435,W,W,F,78,65,CT,96
202,T,W,F,89,65,MD,85
21,T,B,M,74,65,MD,95
1735,W,B,M,67,55,MD,87
1109,T,W,F,77,55,MD,92
1330,T,W,M,NA,NA,MD,92
1031,T,W,M,NA,NA,PA,87
902,T,W,F,85,65,NY,92
852,T,W,M,80,55,MD,97
840,T,B,F,76,55,PA,95
1100,T,W,F,84,65,MD,97
235,T,W,F,NA,NA,MD,96
2025,T,B,M,NA,NA,NJ,95
2305,T,W,M,NA,NA,MD,77
2328,T,W,M,NA,NA,VA,97
215,T,W,M,NA,NA,MD,96
245,T,B,M,74,55,MD,97
1633,W,W,M,60,50,MD,90
1655,W,W,M,80,65,NY,87
40,T,W,M,80,65,MD,95
52,T,B,M,82,65,VA,94
105,T,W,M,83,65,MD,95
710,T,W,M,79,65,FL,92
718,T,W,F,79,65,NJ,93
730,T,B,F,75,65,MD,94
735,T,B,M,77,65,MD,89
740,T,B,M,81,65,VA,97
745,T,B,M,85,65,MD,94
750,T,B,M,77,65,PA,83
800,T,B,F,97,65,MD,94
811,T,W,F,76,65,MD,93
820,T,W,M,81,65,NJ,93
830,T,W,M,86,65,MA,95
840,T,W,M,80,65,NJ,97
845,T,W,M,78,65,DE,87
852,T,W,F,78,65,VA,93
900,T,W,F,79,65,NY,90
1137,T,W,M,80,65,NJ,97
1244,T,W,F,77,65,MD,89
1300,T,B,M,85,65,MD,97
1352,T,W,M,77,65,DE,94
1316,T,B,M,83,65,MD,90
1342,T,W,M,80,65,NJ,94
1350,T,W,M,NA,NA,MD,95
1811,T,W,F,82,65,PA,97
1822,T,B,M,85,65,NC,82
1839,T,W,M,81,65,DE,93
2102,T,W,M,92,65,NY,92
2114,T,W,M,80,65,DZ,96
2134,T,W,F,80,65,MD,89
2148,T,W,F,82,65,NJ,96
1130,T,W,M,93,65,NY,86
1245,T,W,M,78,65,NY,92
1300,T,B,F,85,65,NJ,88
1315,T,W,F,NA,NA,MD,93
1330,T,B,F,83,65,NY,96
1405,T,B,M,79,65,PA,91
1715,T,W,M,84,65,NJ,95
1720,T,W,F,81,65,MD,96
1735,T,W,M,79,65,VA,95
2000,T,B,M,NA,NA,NY,88
2010,T,B,F,79,65,NY,94
2310,T,W,M,79,65,MD,94
140,T,W,M,NA,NA,MD,84
2345,T,B,M,78,55,NY,91
926,T,B,M,85,65,VA,97
930,T,B,F,76,65,NJ,94
934,T,W,F,75,65,RI,93
938,T,W,F,77,65,MD,95
945,T,B,F,76,65,MD,91
957,T,W,M,83,65,MD,96
1345,T,W,F,79,65,DE,96
1409,T,W,M,78,65,FL,95
1418,T,W,M,NA,NA,MD,91
1000,T,B,M,NA,NA,VA,97
250,T,W,M,88,65,NJ,87
1535,W,W,M,77,65,PA,92
1523,W,W,M,NA,NA,AL,87
1109,W,W,F,75,55,MD,96
1534,T,W,M,75,55,NJ,97
1854,T,B,M,NA,NA,MD,87
1642,T,B,M,82,65,DC,94
1810,T,B,M,NA,NA,MD,92
1655,T,W,M,75,65,MD,92
20,T,B,M,NA,NA,MD,87
1227,W,W,M,75,65,VA,94
225,W,W,M,NA,NA,MD,92
250,T,B,F,NA,NA,NJ,94
1625,T,W,M,NA,NA,MD,89
1710,T,B,M,88,65,VA,96
1840,T,W,M,78,65,MD,93
1917,T,W,F,NA,NA,MD,97
2017,T,B,M,NA,NA,MD,96
1446,T,W,M,75,65,NJ,93
1507,T,W,M,82,65,NY,87
1644,T,W,M,80,65,MD,82
1659,T,W,M,84,65,NJ,96
1917,T,B,M,79,65,MD,97
1935,T,W,M,76,65,PA,97
1955,T,W,M,74,65,PA,97
644,T,W,M,NA,NA,MD,87
741,T,B,F,NA,NA,VA,85
1058,T,W,M,NA,NA,MD,90
1203,T,W,M,82,65,NJ,92
1605,W,W,M,NA,NA,MD,80
1425,W,W,F,NA,NA,MD,84
1020,W,W,M,75,55,MD,83
1309,W,W,M,NA,NA,MD,90
900,W,B,M,60,55,DC,92
850,W,W,M,NA,NA,MD,84
1638,W,W,M,82,55,PA,96
455,W,W,M,NA,NA,MD,92
1733,T,W,M,75,65,MD,87
1839,T,W,M,83,65,NY,92
1300,T,B,F,84,65,NJ,97
1105,T,W,M,83,65,NJ,95
1117,T,B,M,79,65,FL,96
1040,T,W,M,74,55,DE,93
738,T,W,M,NA,NA,DE,83
1402,T,W,M,NA,NA,MD,96
1426,T,W,M,78,65,NJ,94
319,T,W,M,NA,NA,MA,86
1435,T,B,F,82,65,NJ,94
1636,T,W,M,NA,NA,MD,93
1943,T,W,M,NA,NA,MD,93
2010,T,B,F,NA,NA,MD,95
2129,T,W,F,76,55,MD,95
2210,T,B,M,81,65,DE,95
2045,T,W,F,70,65,NY,90
1055,T,B,M,73,55,MD,93
504,T,W,M,NA,NA,NJ,95
1459,T,W,F,88,65,NJ,91
1533,T,W,M,76,65,NY,97
1639,T,W,F,79,65,MD,88
1658,T,B,F,84,65,PA,96
340,T,W,F,78,65,DE,91
718,T,W,M,NA,NA,MD,89
2358,T,W,M,78,65,PA,96
839,W,W,M,NA,NA,PA,92
858,W,W,M,NA,NA,PA,97
2054,T,B,M,NA,NA,MD,93
1510,T,W,M,NA,NA,NJ,85
1810,W,W,M,NA,NA,SC,83
53,T,B,F,85,65,MD,94
100,T,W,M,77,65,VA,94
110,T,B,M,77,65,MD,87
120,T,B,M,91,65,NY,97
140,T,B,M,80,65,DC,97
46,T,W,F,78,65,TN,95
1410,W,W,M,NA,NA,FL,95
1259,T,B,M,90,65,NC,91
1750,T,W,M,75,65,PA,97
1614,T,W,M,81,65,CA,89
1701,T,W,F,NA,NA,MD,94
1608,T,W,M,78,65,PA,93
1730,T,B,M,NA,NA,NJ,91
1619,T,W,M,82,65,DE,96
1804,T,W,M,88,65,PA,93
1718,T,W,F,76,65,DE,91
1015,T,W,M,NA,NA,NJ,96
1312,T,B,M,79,65,DE,95
1113,T,W,M,NA,NA,PA,85
1041,T,W,F,79,65,PA,96
1317,T,W,F,78,65,CT,93
1136,T,W,M,81,65,PA,91
1610,T,W,M,84,65,PA,91
1914,T,W,M,NA,NA,MD,94
1700,T,W,M,81,65,NY,95
1550,T,B,M,NA,NA,MD,89
1724,T,B,F,80,65,NY,91
1040,T,W,M,NA,NA,MD,94
710,T,W,M,NA,NA,MD,86
1135,T,B,M,NA,NA,PA,93
1115,T,B,F,NA,NA,MD,93
1203,T,W,M,78,65,MA,91
930,T,B,M,77,65,MD,97
1050,T,W,M,81,65,MD,97
1100,T,W,F,77,65,PA,88
2240,T,W,F,81,65,NJ,88
950,T,W,M,NA,NA,RI,86
1320,T,W,M,NA,NA,MD,85
600,T,W,F,80,65,MD,96
613,T,W,M,83,65,MD,96
2000,T,W,M,NA,NA,OH,79
50,T,B,M,NA,NA,VA,97
48,T,B,M,NA,NA,MD,91
35,W,W,M,NA,NA,MD,76
1230,W,B,M,NA,NA,MD,87
1136,T,B,M,NA,NA,MD,88
1140,T,B,M,NA,NA,MD,88
1644,T,B,F,79,65,NJ,97
55,T,W,F,NA,NA,MD,86
1952,T,W,M,85,65,MD,96
2003,T,B,M,88,65,PA,91
2022,T,B,F,NA,NA,NY,95
2109,T,W,M,79,65,NJ,91
2151,T,B,M,83,65,NY,82
840,T,W,M,78,65,NJ,96
850,T,W,M,81,65,TX,90
920,T,W,F,77,65,MS,97
1415,T,W,M,77,65,AZ,91
1435,T,B,M,77,65,VA,97
1540,T,W,M,82,65,PA,95
1625,T,W,F,84,65,NJ,89
1640,T,B,F,84,65,DE,97
1708,T,B,M,89,65,PA,89
1725,T,W,F,84,65,MD,97
1737,T,B,M,87,65,VA,82
1752,T,W,M,84,65,NH,95
730,T,W,F,76,65,DC,91
737,T,W,F,76,65,NJ,89
743,T,W,F,75,65,VT,93
751,T,W,F,75,65,MD,97
801,T,B,M,89,65,MD,96
928,T,W,M,NA,NA,MD,95
1103,T,W,M,NA,NA,MD,86
1614,T,B,F,NA,NA,MD,97
1030,W,W,F,76,65,MD,90
1230,W,B,M,NA,NA,MD,89
1330,T,W,M,NA,NA,PA,95
1336,W,W,M,77,65,FL,94
1554,W,W,M,70,65,NJ,88
2149,T,W,M,NA,NA,MD,86
2221,W,W,F,NA,NA,MD,94
1239,W,B,M,NA,NA,MD,85
1556,T,W,F,71,55,MD,93
1607,T,W,F,71,55,MD,92
1706,T,W,F,NA,NA,MD,91
2028,T,W,F,79,65,PA,88
2046,T,W,F,74,55,MD,97
2100,T,W,F,73,65,MD,94
2123,T,W,F,NA,NA,MD,88
631,T,W,M,NA,NA,MD,93
1611,W,W,M,76,65,MD,96
30,W,W,F,NA,65,FL,95
1317,W,W,F,NA,NA,CT,93
1404,T,W,F,NA,NA,NY,95
942,W,W,M,74,65,VA,94
1803,T,W,F,NA,NA,MD,97
1515,T,W,M,81,65,MD,87
1850,T,B,M,NA,NA,MD,95
1739,T,W,M,NA,NA,DE,95
1451,T,B,M,93,65,PA,98
725,T,W,M,76,65,MD,95
1000,T,B,F,78,65,MD,94
1340,T,W,M,78,65,NY,89
1040,T,W,M,NA,NA,MD,97
820,T,W,M,NA,NA,MD,97
1320,T,W,M,79,65,GA,92
1030,T,W,M,NA,NA,MD,92
1050,T,W,M,81,65,MD,92
730,T,W,M,NA,NA,MD,83
26,T,W,F,75,65,MA,93
803,T,B,F,82,65,PA,87
818,T,W,F,83,65,PA,84
938,T,W,M,79,65,NY,94
957,T,W,F,78,65,MD,97
1100,T,B,M,89,65,PA,97
1120,T,W,M,77,65,NC,97
1150,T,W,M,76,65,PA,97
1150,T,W,M,79,65,FL,92
1230,T,W,M,NA,NA,MD,94
825,T,W,M,NA,NA,PA,89
840,T,B,F,79,65,MD,89
1158,T,B,M,79,65,MA,95
1325,T,W,F,79,65,NY,94
1630,T,B,M,NA,NA,NC,94
806,T,W,M,78,65,FL,95
819,T,W,F,81,65,MD,90
830,T,W,M,81,65,PA,97
848,T,B,M,81,65,MD,94
828,T,B,M,81,65,NJ,97
1203,T,W,M,77,65,NY,96
1302,T,W,M,79,65,DE,97
937,W,W,F,82,65,NY,82
946,W,W,F,81,65,MD,93
1755,W,W,M,70,65,MD,94
1822,T,W,M,NA,NA,MD,84
1350,W,B,M,NA,NA,NC,94
955,W,B,M,70,65,FL,97
1205,W,W,M,NA,NA,MD,88
2330,T,W,M,NA,NA,MD,86
1140,T,B,M,80,65,MD,93
712,T,W,M,NA,NA,MD,79
37,T,W,M,NA,NA,MD,97
640,T,W,M,NA,NA,MD,87
650,T,W,M,NA,NA,MD,77
705,T,W,F,NA,NA,PA,96
315,T,B,M,NA,NA,AL,92
815,T,W,M,NA,NA,PA,93
850,T,W,M,84,65,NJ,68
935,T,B,M,79,65,NC,96
915,T,W,M,84,65,NY,93
1220,T,B,M,84,65,MD,92
1211,T,W,M,80,65,FL,97
1222,T,W,F,NA,NA,NJ,95
600,T,B,M,NA,NA,NY,91
345,W,B,M,NA,NA,VA,91
1737,W,W,F,NA,NA,MD,91
827,T,W,M,NA,NA,MD,87
1241,W,W,M,76,65,MD,88
1737,W,W,M,75,65,DC,90
1815,T,W,F,NA,NA,DE,93
715,T,W,M,83,65,MD,97
2259,W,W,M,NA,NA,MD,87
818,T,W,F,74,55,MD,92
1001,T,W,M,78,65,MD,92
903,T,B,F,72,56,MD,94
805,T,W,M,81,65,NJ,91
733,T,B,F,76,55,MD,92
1031,T,B,M,NA,NA,MD,90
2345,T,B,M,94,55,PA,79
1835,W,W,F,76,65,NY,94
1845,W,W,M,78,65,MD,84
1330,W,B,M,70,65,VA,96
48,W,W,M,73,65,MD,86
110,T,B,M,NA,NA,DC,96
1240,T,B,M,74,55,MD,86
1450,T,W,M,NA,NA,MD,92
1640,T,W,M,NA,NA,MD,92
1820,T,W,M,NA,NA,NY,93
852,T,W,M,80,65,MD,96
905,T,B,M,76,65,VA,91
918,T,B,F,84,65,MD,81
1020,T,W,M,75,65,MD,96
1151,T,B,F,76,65,NJ,91
1205,T,W,M,78,65,MD,96
1247,T,B,M,NA,NA,SC,87
210,T,W,M,NA,NA,MD,87
730,T,W,M,79,65,PA,97
140,T,W,M,81,65,NJ,97
1709,W,W,M,77,65,DE,97
1525,W,B,M,NA,NA,PA,93
16,T,W,M,88,65,NJ,94
1912,W,W,M,77,65,MD,90
1954,W,W,M,NA,NA,VA,87
2326,W,B,M,80,55,PA,89
1103,W,B,M,71,55,MD,87
1240,W,W,M,NA,NA,MD,90
648,W,W,M,NA,NA,MD,92
1214,W,W,M,NA,NA,MD,90
1226,W,W,M,NA,NA,MD,91
130,T,W,M,NA,NA,MD,85
1945,T,B,F,NA,NA,VA,93
246,T,W,M,NA,NA,MD,86
1530,T,W,M,74,65,VA,97
1610,T,W,M,78,65,MD,87
1705,T,W,M,NA,NA,PA,91
2202,T,B,M,74,65,NY,93
2221,T,B,M,84,65,MA,98
2100,W,B,F,NA,NA,DC,83
835,W,B,M,70,65,MD,96
1140,W,B,M,NA,65,NC,89
450,T,W,F,77,65,MA,89
1040,T,W,M,NA,NA,MD,88
1125,T,W,M,76,65,CT,95
0,T,B,F,NA,NA,MD,90
1250,T,W,F,NA,NA,MD,91
1300,T,W,F,78,65,DE,97
1315,T,W,F,77,65,DC,92
1615,T,W,M,82,65,PA,95
901,T,W,M,NA,NA,NJ,97
938,T,W,M,NA,NA,FL,79
600,T,W,M,80,65,MA,92
1240,T,W,M,NA,NA,PA,93
1325,T,W,M,NA,NA,MD,94
1414,W,W,M,NA,55,VA,87
2028,W,W,M,NA,65,MD,97
2030,W,W,M,NA,NA,MD,87
1055,T,W,M,NA,NA,NY,96
0,W,W,F,NA,NA,MD,84
113,W,W,M,75,55,MD,90
202,W,W,M,NA,NA,MD,92
2246,W,W,F,78,65,NJ,96
55,W,W,M,NA,NA,MD,86
1350,T,W,F,76,65,NY,91
34,T,W,M,74,55,NJ,95
1153,T,B,F,86,65,GA,96
1735,T,B,M,85,65,MD,84
1730,W,W,M,78,65,MD,82
2345,T,W,F,78,65,PA,92
1405,T,W,M,77,65,MD,93
1430,T,W,F,54,35,MD,97
1450,T,W,M,76,65,MD,93
1650,T,B,M,81,65,NJ,96
1650,T,B,M,81,65,MD,93
1738,T,W,M,NA,NA,MD,87
751,T,W,M,NA,NA,MD,88
1440,T,W,F,NA,NA,NJ,92
1620,T,W,M,82,65,MD,95
1710,T,W,F,78,65,MD,95
1720,T,W,M,81,65,PA,83
1730,T,W,M,NA,NA,NJ,85
1820,T,B,F,82,65,PA,90
1830,T,B,M,80,65,MD,92
2000,T,W,M,80,65,NJ,91
2002,T,B,M,84,65,PA,96
2132,T,B,M,92,65,DE,95
627,T,B,F,92,55,PA,97
641,T,W,F,NA,NA,NY,88
646,T,W,F,NA,NA,NY,88
901,T,W,M,76,65,PA,89
946,T,W,F,80,65,MD,95
957,T,W,F,78,65,VA,96
1004,T,W,F,79,65,NY,91
1017,T,W,F,76,65,PA,91
1025,T,B,M,80,65,MD,92
1202,T,W,M,92,65,NY,93
1915,T,W,M,78,65,FL,89
244,T,W,M,78,65,NJ,95
1458,T,B,F,NA,NA,PA,94
1640,T,W,M,NA,NA,NJ,96
1658,T,B,M,78,65,MA,94
1920,T,W,M,NA,NA,MD,96
2218,T,W,M,79,55,MD,93
752,T,W,F,83,65,MD,95
940,T,W,M,NA,NA,NY,91
1025,T,W,M,NA,NA,IL,94
747,T,W,M,NA,NA,MD,88
1405,W,B,M,NA,NA,CT,88
1202,W,W,M,75,65,VA,91
1810,W,B,M,NA,65,NC,93
2150,W,B,M,NA,65,FL,84
1650,W,W,M,NA,NA,MD,93
1617,W,W,M,NA,NA,MD,87
2040,T,W,M,81,65,NJ,95
2116,W,B,M,NA,NA,MD,96
1735,W,W,M,NA,NA,MD,88
130,T,W,F,80,65,NH,95
1520,T,W,M,NA,NA,PA,90
749,T,B,F,82,65,MD,87
1113,T,W,F,78,65,VA,91
1156,T,W,M,88,65,MA,92
1228,T,W,M,84,65,PA,90
1235,T,B,F,85,65,DE,93
1252,T,W,M,77,65,PA,97
1305,T,B,M,75,65,NY,96
1325,T,W,F,84,65,PA,96
646,T,W,M,80,65,MD,95
904,T,W,F,80,65,ME,93
912,T,B,M,98,65,NY,92
921,T,B,M,83,65,PA,97
929,T,W,M,83,65,FL,96
958,T,W,M,NA,NA,PA,92
1100,T,W,M,NA,NA,NJ,90
1139,T,B,F,NA,NA,VA,95
1320,T,W,M,79,65,PA,88
1334,T,W,M,81,65,VA,96
808,T,W,M,76,65,PA,95
839,T,W,M,76,65,PA,97
851,T,B,M,85,65,VA,92
900,T,B,F,NA,NA,DE,86
918,T,B,F,84,65,NC,87
1640,T,W,M,NA,NA,MD,88
1710,T,W,M,NA,NA,MD,95
1855,T,W,M,85,65,PA,92
123,T,W,M,NA,NA,MD,89
1610,T,W,M,80,55,CA,87
1700,T,W,M,NA,NA,MD,88
1730,T,W,M,77,65,NC,96
1745,T,W,M,79,65,AL,94
1535,T,W,M,60,45,PA,88
1655,T,W,M,76,65,PA,96
1725,T,B,M,82,65,NC,93
1900,T,W,F,55,45,MD,94
1907,T,W,M,55,45,MD,88
1915,T,W,F,63,45,FL,96
1925,T,W,M,55,45,MD,97
1930,T,W,M,57,45,MD,87
1940,T,W,M,58,45,PA,84
2010,T,W,F,56,45,MD,95
2020,T,W,M,57,45,MD,90
1550,T,W,M,84,65,NC,91
1940,T,W,F,NA,NA,NJ,93
1800,T,W,M,84,65,PA,90
1820,T,W,M,79,65,PA,87
1830,T,W,M,NA,NA,VA,91
1845,T,W,M,83,65,NY,97
1945,T,B,M,84,65,PA,97
2000,T,W,M,84,65,PA,93
2020,T,W,M,NA,NA,MD,96
2100,T,B,M,NA,NA,VA,93
1745,T,W,M,NA,NA,MD,96
2055,T,W,M,78,65,MD,95
833,T,W,F,77,65,MD,84
844,T,W,M,NA,NA,MD,74
856,T,W,M,80,65,MD,93
917,T,W,F,NA,NA,MD,84
1743,W,W,M,76,65,MD,93
1713,W,W,M,NA,NA,MD,97
1700,W,W,M,NA,65,MD,88
1610,W,W,M,NA,NA,CA,87
835,T,W,M,78,65,NJ,96
1335,T,W,F,76,65,MD,93
1349,T,W,F,78,65,VA,97
1401,T,W,F,76,65,PA,92
2055,W,W,F,72,65,VA,91
1930,W,W,M,NA,NA,MD,86
1945,W,W,F,NA,NA,MD,91
1415,W,W,M,78,65,FL,89
1700,W,W,M,NA,65,NY,92
1333,T,W,F,79,65,DE,86
1652,W,W,M,NA,NA,MD,94
845,W,B,M,77,65,PA,96
854,W,W,M,NA,NA,DE,92
928,T,B,F,NA,NA,MD,95
1135,W,W,M,74,65,PA,97
1539,W,W,M,76,65,PA,93
2033,W,W,F,NA,NA,MD,87
113,W,W,F,NA,NA,MD,95
708,T,W,M,77,65,NY,92
1731,W,B,M,70,55,MD,86
9,T,B,M,80,65,DE,86
345,T,B,M,85,65,FL,97
145,T,W,M,88,65,MD,76
2335,T,W,M,79,65,NY,90
2355,T,B,M,83,65,NY,97
902,T,W,M,NA,NA,DE,94
921,T,W,M,77,65,CT,94
923,T,W,M,77,65,MD,96
1120,T,W,M,NA,NA,MD,94
1130,T,W,M,76,65,NY,97
1703,T,W,F,78,65,MD,97
1255,T,W,F,74,65,MD,95
1320,T,B,M,84,65,NY,92
1351,T,B,F,NA,NA,NY,97
1610,T,W,M,83,65,MA,89
1630,T,W,M,91,65,PA,97
1650,T,B,M,NA,NA,DE,95
1700,T,W,F,86,65,MI,93
1750,T,B,M,78,65,DC,95
2010,T,W,M,81,65,PA,95
1430,T,W,F,NA,NA,NJ,90
2047,T,W,M,90,65,FL,94
2110,T,W,F,81,65,VA,94
1645,T,W,M,80,65,DC,87
1740,T,B,F,80,65,NJ,89
1800,T,W,F,77,65,PA,96
1820,T,W,M,83,65,PA,96
824,T,W,M,NA,NA,NJ,95
905,T,B,M,76,65,PA,92
935,T,W,M,84,65,PA,95
951,T,W,F,75,65,PA,95
1130,T,B,M,NA,NA,MD,92
1335,T,B,M,NA,NA,MD,86
1451,T,B,F,NA,NA,MD,85
1510,T,W,M,73,65,MD,88
1530,T,W,M,NA,NA,NJ,88
1455,T,W,M,88,65,NY,97
1730,T,W,M,73,65,MD,88
1815,T,W,M,NA,NA,MD,88
1830,T,W,F,74,55,MD,95
1925,T,W,F,NA,NA,MD,88
2015,T,W,M,NA,NA,MD,91
2315,T,B,M,82,65,VA,97
836,T,W,F,74,65,MD,95
902,T,W,F,78,65,MD,94
924,T,B,M,69,65,NJ,87
1051,T,W,M,76,65,DE,95
1736,T,W,M,81,65,VA,97
1742,T,W,F,79,65,MD,97
1750,T,W,M,77,65,CT,97
1738,T,W,F,81,65,MD,97
1708,T,W,M,79,65,VA,94
1817,T,W,M,84,65,MD,95
1835,T,B,M,79,65,MD,96
2345,T,W,F,86,55,NH,97
1748,W,W,M,80,65,MD,96
1440,W,W,F,80,65,PA,93
1945,T,W,M,NA,NA,MD,95
